山通番,パレット数,構成
18,2,高岡|2026090401|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026090401|K5|C15-B-5|581164203000|1|830|313.74
19,3,日野|2026090701|06|Q10-A-11|486226006000|1|750|72.911; 日野|2026090701|06|Q10-A-12|486236006000|1|750|72.912; 日野|2026090701|06|Q10-A-13|486246006000|1|750|72.913
20,3,織機|2026090701|28|C12-B-6|582114202000|1|550|346.5; 織機|2026090701|28|C15-A-3|583114214100|1|750|313.7401; 織機|2026090701|28|C15-A-3|583114214100|1|750|313.7401
21,2,高岡|2026090701|K5|C15-B-5|581164203000|1|830|313.74; 高岡|2026090701|K5|L12-D-8|537224207000|1|515|194.1302
22,2,KVC|2026082601|B7|L12-C-5|537214206090|1|515|194.1301; KVC|2026082801|B7|L12-C-5|537214206090|1|515|194.1301
23,3,日野|2026090704|07|Q10-D-23|617426014000|1|750|62.19; 日野|2026090704|07|Q10-D-25|617416014000|1|750|62.1901; 高岡|2026090101|K5|C15-A-3|583114214100|1|750|313.7401
24,3,日野|2026090701|06|Q10-A-10|486216006000|1|750|72.91; 高岡|2026090705|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026090705|K5|L12-D-8|537224207000|1|515|194.1302
25,4,KVC|2026082701|B7|L12-C-5|537214206090|1|515|194.1301; KVC|2026082701|B7|L12-D-8|537224207090|1|515|194.1302; KVC|2026090801|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026090801|B7|L12-C-5|537214206090|1|515|194.1301
26,4,KVC|2026082501|B7|L12-C-5|537214206090|1|515|194.1301; 日野|2026090801|06|Q10-A-11|486226006000|1|750|72.911; 日野|2026090801|07|Q10-B-5|616246010000|1|500|72.907; 日野|2026090801|07|Q10-B-7|616236014000|1|500|72.908
27,3,三栄|2026090801|2P|Q9-A-9|631426010000|1|1000|16.6502; 日野|2026090801|07|Q10-D-23|617426014000|1|750|62.19; 日野|2026090801|07|Q10-D-25|617416014000|1|750|62.1901
28,3,織機|2026090801|28|C12-B-6|582114202000|1|550|346.5; 織機|2026090801|28|C15-A-3|583114214100|1|750|313.7401; 織機|2026090801|28|C15-A-3|583114214100|1|750|313.7401
29,4,元町|2026083101|1W|N12-A-21|571111101000|1|800|168.3905; 日野|2026090804|07|Q10-B-3|617756002000|21|500|72.906; 日野|2026090804|W5|Q10-A-20|671466020000|21|500|72.914; 日野|2026090804|W5|Q10-A-22|671456020000|21|500|72.915
30,2,日野|2026090805|07|Q10-A-24|631426010000|1|1000|72.916; 織機|2026090801|61|C15-A-3|583114214100|1|750|313.7401
31,3,KVC|2026090901|B7|C15-B-5|581164203000|1|830|313.74; KVC|2026090901|B7|L12-C-5|537214206090|1|515|194.1301; 日野|2026090901|07|Q10-A-24|631426010000|1|1000|72.916
32,2,三栄|2026090901|2P|Q9-A-9|631426010000|1|1000|16.6502; 三栄|2026090901|2P|Q9-A-9|631426010000|1|1000|16.6502
33,3,日野|2026090901|06|Q10-A-12|486236006000|1|750|72.912; 日野|2026090901|06|Q10-A-13|486246006000|1|750|72.913; 日野|2026090901|07|Q10-A-30|631426011000|1|515|72.919
34,3,日野|2026090901|06|Q10-A-10|486216006000|1|750|72.91; 日野|2026090901|06|Q10-A-11|486226006000|1|750|72.911; 日野|2026090901|07|Q10-B-7|616236014000|1|500|72.908
35,3,日野|2026090901|07|Q10-B-5|616246010000|1|500|72.907; 日野|2026090901|07|Q10-D-25|617416014000|1|750|62.1901; 高岡|2026082704|K5|C15-A-3|583114214100|1|750|313.7401
36,3,織機|2026090901|28|C15-A-3|583114214100|1|750|313.7401; 織機|2026090901|28|C15-A-3|583114214100|1|750|313.7401; 織機|2026090901|61|C15-A-3|583114214100|1|750|313.7401
37,4,元町|2026090501|1W|N12-A-21|571111101000|1|800|168.3905; 日野|2026090904|07|Q10-B-1|617766003000|21|500|72.905; 日野|2026090904|07|Q10-B-3|617756002000|21|500|72.906; 日野|2026090904|W5|Q10-A-22|671456020000|21|500|72.915
38,3,KVC|2026091001|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026091001|B7|L12-D-8|537224207090|1|515|194.1302; 日野|2026090902|07|Q10-A-24|631426010000|1|1000|72.916
39,3,日野|2026091201|06|Q10-A-12|486236006000|1|750|72.912; 日野|2026091201|06|Q10-A-13|486246006000|1|750|72.913; 日野|2026091201|07|Q10-A-30|631426011000|1|515|72.919
40,3,日野|2026091201|06|Q10-A-10|486216006000|1|750|72.91; 日野|2026091201|06|Q10-A-11|486226006000|1|750|72.911; 日野|2026091201|07|Q10-A-7|631436012000|1|515|72.909
41,3,日野|2026091201|07|Q10-D-23|617426014000|1|750|62.19; 日野|2026091201|07|Q10-D-23|617426014000|1|750|62.19; 日野|2026091201|07|Q10-D-25|617416014000|1|750|62.1901
42,1,日野|2026091201|07|Q10-A-24|631426010000|1|1000|72.916
43,3,日野|2026091201|07|Q10-B-5|616246010000|1|500|72.907; 日野|2026091201|07|Q10-B-7|616236014000|1|500|72.908; 日野|2026091201|07|Q10-D-25|617416014000|1|750|62.1901
44,2,日野|2026090901|07|Q10-B-23|5831160F1000|5|600|72.918; 日野|2026091201|07|Q10-B-23|5831160F1000|5|600|72.918
45,2,日野|2026090801|07|Q10-A-27|5831160F4000|5|600|72.917; 日野|2026091201|07|Q10-A-27|5831160F4000|5|600|72.917
46,1,元町|2026090401|1W|M12-B-17|572411101000|7|800|168.3902
47,4,三栄|2026090801|2P|Q11-C-A|631496003000|11|600|119.43; 三栄|2026090801|2P|Q11-C-A|631496003000|11|600|119.43; 三栄|2026090801|2P|Q11-C-A|631496003000|11|600|119.43; 三栄|2026090801|2P|Q8-A-A|631486005000|11|600|26.2802
48,2,三栄|2026090801|2P|Q8-A-A|631486005000|11|600|26.2802; 三栄|2026090801|2P|Q8-A-A|631486005000|11|600|26.2802
49,2,日野|2026091201|07|Q10-A-1|631496003000|11|600|72.903; 日野|2026091201|07|Q10-A-3|631486005000|11|600|72.904
50,2,TMK|2026082002|B7|Q9-A-5|551124202000|17|830|16.6501; TMK|2026082101|B7|Q9-A-5|551124202000|17|830|16.6501
51,2,TMK|2026082601|B7|Q9-A-5|551124202000|17|830|16.6501; TMK|2026082702|B7|Q9-A-5|551124202000|17|830|16.6501
52,3,元町|2026082601|1W|N12-A-8|551115010000|17|600|168.3901; 元町|2026090101|1W|C12-B-2|582111190500|17|600|346.501; 高岡|2026082501|K5|Q9-A-5|551124202000|17|830|16.6501
53,2,高岡|2026082601|K5|Q9-A-5|551124202000|17|830|16.6501; 高岡|2026082801|K5|Q9-A-5|551124202000|17|830|16.6501
54,2,高岡|2026083101|K5|Q9-A-5|551124202000|17|830|16.6501; 高岡|2026090201|K5|Q9-A-5|551124202000|17|830|16.6501
55,2,高岡|2026090301|K5|Q9-A-5|551124202000|17|830|16.6501; 高岡|2026090501|K5|Q9-A-5|551124202000|17|830|16.6501
56,2,高岡|2026090701|K5|Q9-A-5|551124202000|17|830|16.6501; 高岡|2026090801|K5|Q9-A-5|551124202000|17|830|16.6501
57,2,高岡|2026082501|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090901|K5|Q9-A-5|551124202000|17|830|16.6501
58,2,高岡|2026082501|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026082601|K5|Q9-A-1|551124201000|17|830|16.65
59,2,高岡|2026082601|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026082601|K5|Q9-A-1|551124201000|17|830|16.65
60,2,高岡|2026082701|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026082701|K5|Q9-A-1|551124201000|17|830|16.65
61,2,高岡|2026082701|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026082801|K5|Q9-A-1|551124201000|17|830|16.65
62,2,高岡|2026082801|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026083101|K5|Q9-A-1|551124201000|17|830|16.65
63,2,高岡|2026083101|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090101|K5|Q9-A-1|551124201000|17|830|16.65
64,2,高岡|2026090101|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090201|K5|Q9-A-1|551124201000|17|830|16.65
65,2,高岡|2026090201|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090301|K5|Q9-A-1|551124201000|17|830|16.65
66,2,高岡|2026090401|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090401|K5|Q9-A-1|551124201000|17|830|16.65
67,2,高岡|2026090501|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090501|K5|Q9-A-1|551124201000|17|830|16.65
68,2,高岡|2026090701|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090701|K5|Q9-A-1|551124201000|17|830|16.65
69,2,高岡|2026090801|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090801|K5|Q9-A-1|551124201000|17|830|16.65
70,2,高岡|2026090901|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090901|K5|Q9-A-1|551124201000|17|830|16.65
71,2,織機|2026090701|21|Q9-A-5|551124202000|17|830|16.6501; 織機|2026090901|21|Q9-A-5|551124202000|17|830|16.6501
72,2,織機|2026090801|61|Q9-A-5|551124202000|17|830|16.6501; 織機|2026091001|21|Q9-A-5|551124202000|17|830|16.6501
73,2,織機|2026090701|21|Q9-A-1|551124201000|17|830|16.65; 織機|2026090901|61|Q9-A-5|551124202000|17|830|16.6501
74,2,織機|2026090701|21|Q9-A-1|551124201000|17|830|16.65; 織機|2026090801|21|Q9-A-1|551124201000|17|830|16.65
75,2,織機|2026090801|21|Q9-A-1|551124201000|17|830|16.65; 織機|2026090901|21|Q9-A-1|551124201000|17|830|16.65
76,2,織機|2026091001|21|Q9-A-1|551124201000|17|830|16.65; 織機|2026091001|21|Q9-A-1|551124201000|17|830|16.65
77,1,織機|2026090901|61|Q9-A-1|551124201000|17|830|16.65
78,2,元町|2026082501|9P|J12-B-14|538115019000|18|1050|227.7; 元町|2026082501|9P|J12-B-16|538125020000|18|1050|227.701
79,4,日野|2026090801|07|Q10-B-1|617766003000|21|500|72.905; 日野|2026090801|07|Q10-B-3|617756002000|21|500|72.906; 日野|2026090801|07|Q10-B-A|617766004000|21|500|72.9; 日野|2026090801|W5|Q10-A-22|671456020000|21|500|72.915
80,4,日野|2026090901|07|Q10-B-1|617766003000|21|500|72.905; 日野|2026090901|07|Q10-B-3|617756002000|21|500|72.906; 日野|2026090901|W5|Q10-A-20|671466020000|21|500|72.914; 日野|2026090901|W5|Q10-A-22|671456020000|21|500|72.915
81,4,日野|2026091201|07|Q10-B-1|617766003000|21|500|72.905; 日野|2026091201|07|Q10-B-3|617756002000|21|500|72.906; 日野|2026091201|W5|Q10-A-20|671466020000|21|500|72.914; 日野|2026091201|W5|Q10-A-22|671456020000|21|500|72.915
82,2,日野|2026091201|07|Q10-B-A|617766004000|21|500|72.9; 日野|2026091201|07|Q10-B-B|617756003000|21|500|72.901
83,3,三栄|2026090701|1P|Q10-E-20|671456020000|21|500|62.111; 三栄|2026090701|1P|Q10-E-20|671456020000|21|500|62.111; 三栄|2026090701|1P|Q10-E-21|671466020000|21|500|62.112
84,3,KVC|2026082102|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026082102|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026082102|B7|L12-D-8|537224207090|1|515|194.1302
85,3,KVC|2026082502|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026082502|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026082502|B7|L12-D-8|537224207090|1|515|194.1302
86,3,高岡|2026082502|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026082502|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026082502|K5|C15-B-5|581164203000|1|830|313.74
87,1,高岡|2026082502|K5|L12-C-5|537214206000|1|515|194.1301
88,3,KVC|2026082602|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026082602|B7|C12-B-6|582114202000|1|550|346.5; KVC|2026082602|B7|C15-A-1|581167801100|1|830|313.7402
89,2,KVC|2026082602|B7|C15-B-5|581164203000|1|830|313.74; KVC|2026082602|B7|L12-C-5|537214206090|1|515|194.1301
90,3,高岡|2026082602|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026082602|K5|C15-B-5|581164203000|1|830|313.74; 高岡|2026082602|K5|L12-D-8|537224207000|1|515|194.1302
91,3,KVC|2026082702|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026082702|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026082702|B7|L12-C-5|537214206090|1|515|194.1301
92,3,高岡|2026082702|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026082702|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026082702|K5|C15-B-5|581164203000|1|830|313.74
93,3,KVC|2026082802|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026082802|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026082802|B7|L12-C-5|537214206090|1|515|194.1301
94,2,高岡|2026082802|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026082802|K5|L12-D-8|537224207000|1|515|194.1302
95,2,KVC|2026083102|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026083102|B7|L12-D-8|537224207090|1|515|194.1302
96,1,高岡|2026083102|K5|C15-A-3|583114214100|1|750|313.7401
97,1,高岡|2026090102|K5|C15-A-3|583114214100|1|750|313.7401
98,2,高岡|2026090202|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026090202|K5|L12-C-5|537214206000|1|515|194.1301
99,2,高岡|2026090302|K5|C15-B-5|581164203000|1|830|313.74; 高岡|2026090302|K5|L12-D-8|537224207000|1|515|194.1302
100,4,日野|2026091202|W5|Q10-A-20|671466020000|21|500|72.914; 日野|2026091202|W5|Q10-A-22|671456020000|21|500|72.915; 高岡|2026090305|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026090305|K5|L12-D-8|537224207000|1|515|194.1302
101,1,高岡|2026090502|K5|C15-A-3|583114214100|1|750|313.7401
102,1,元町|2026082702|1W|N12-A-19|571121101000|1|800|168.3904
103,4,三栄|2026090702|1P|Q10-E-20|671456020000|21|500|62.111; 三栄|2026090702|1P|Q10-E-21|671466020000|21|500|62.112; 三栄|2026090702|1P|Q10-E-21|671466020000|21|500|62.112; 元町|2026090703|1W|N12-A-19|571121101000|1|800|168.3904
104,3,日野|2026090702|06|Q10-A-10|486216006000|1|750|72.91; 日野|2026090702|06|Q10-A-11|486226006000|1|750|72.911; 日野|2026090702|07|Q10-B-7|616236014000|1|500|72.908
105,3,日野|2026090702|07|Q10-B-5|616246010000|1|500|72.907; 日野|2026090702|07|Q10-D-25|617416014000|1|750|62.1901; 日野|2026090702|07|Q10-D-25|617416014000|1|750|62.1901
106,2,日野|2026090702|07|Q10-D-23|617426014000|1|750|62.19; 高岡|2026090205|K5|C15-A-3|583114214100|1|750|313.7401
107,3,織機|2026090702|28|C15-A-3|583114214100|1|750|313.7401; 織機|2026090702|28|C15-A-3|583114214100|1|750|313.7401; 織機|2026090702|61|C15-A-3|583114214100|1|750|313.7401
108,1,高岡|2026090702|K5|C15-A-3|583114214100|1|750|313.7401
109,3,日野|2026090702|07|Q10-A-24|631426010000|1|1000|72.916; 織機|2026090707|28|C15-A-3|583114214100|1|750|313.7401; 織機|2026090707|28|C15-A-3|583114214100|1|750|313.7401
110,1,KVC|2026090802|B7|L12-D-8|537224207090|1|515|194.1302
111,3,日野|2026090802|06|Q10-A-10|486216006000|1|750|72.91; 日野|2026090802|06|Q10-A-12|486236006000|1|750|72.912; 日野|2026090802|06|Q10-A-13|486246006000|1|750|72.913
112,3,日野|2026090802|07|Q10-B-5|616246010000|1|500|72.907; 日野|2026090802|07|Q10-D-25|617416014000|1|750|62.1901; 日野|2026090802|07|Q10-D-25|617416014000|1|750|62.1901
113,2,日野|2026090802|07|Q10-D-23|617426014000|1|750|62.19; 日野|2026090802|W5|Q10-A-20|671466020000|21|500|72.914
114,3,日野|2026091207|07|Q10-D-23|617426014000|1|750|62.19; 織機|2026090802|28|C15-A-3|583114214100|1|750|313.7401; 織機|2026090802|28|C15-A-3|583114214100|1|750|313.7401
115,2,高岡|2026090802|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026090802|K5|C15-B-5|581164203000|1|830|313.74
116,3,KVC|2026090902|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026090902|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026090902|B7|L12-D-8|537224207090|1|515|194.1302
117,3,日野|2026090902|06|Q10-A-11|486226006000|1|750|72.911; 日野|2026090902|06|Q10-A-13|486246006000|1|750|72.913; 日野|2026090902|07|Q10-B-7|616236014000|1|500|72.908
118,3,日野|2026090902|07|Q10-B-5|616246010000|1|500|72.907; 日野|2026090902|07|Q10-D-23|617426014000|1|750|62.19; 日野|2026090902|07|Q10-D-25|617416014000|1|750|62.1901
119,3,日野|2026091207|07|Q10-A-24|631426010000|1|1000|72.916; 織機|2026090902|28|C15-A-3|583114214100|1|750|313.7401; 織機|2026090902|28|C15-A-3|583114214100|1|750|313.7401
120,2,高岡|2026090902|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026090902|K5|L12-C-5|537214206000|1|515|194.1301
121,2,KVC|2026091002|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026091002|B7|L12-C-5|537214206090|1|515|194.1301
122,1,日野|2026090802|07|Q10-A-24|631426010000|1|1000|72.916
123,1,KVC|2026082502|B7|L12-C-5|537214206090|1|515|194.1301
124,3,日野|2026091202|06|Q10-A-11|486226006000|1|750|72.911; 日野|2026091202|06|Q10-A-12|486236006000|1|750|72.912; 日野|2026091202|06|Q10-A-13|486246006000|1|750|72.913
125,3,日野|2026091202|06|Q10-A-10|486216006000|1|750|72.91; 日野|2026091202|07|Q10-B-5|616246010000|1|500|72.907; 日野|2026091202|07|Q10-B-7|616236014000|1|500|72.908
126,3,日野|2026091202|07|Q10-A-24|631426010000|1|1000|72.916; 日野|2026091202|07|Q10-D-23|617426014000|1|750|62.19; 日野|2026091202|07|Q10-D-25|617416014000|1|750|62.1901
127,2,KVC|2026082002|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026082002|B7|C15-A-1|581167801100|1|830|313.7402
128,1,元町|2026090702|1W|N12-B-1|537141101000|1|515|153.54
129,1,元町|2026090302|1W|N12-A-19|571121101000|1|800|168.3904
130,2,日野|2026090702|07|Q10-B-23|5831160F1000|5|600|72.918; 日野|2026090802|07|Q10-B-23|5831160F1000|5|600|72.918
131,2,日野|2026090902|07|Q10-A-27|5831160F4000|5|600|72.917; 日野|2026091202|07|Q10-B-23|5831160F1000|5|600|72.918
132,1,日野|2026091202|07|Q10-A-27|5831160F4000|5|600|72.917
133,2,織機|2026090702|21|Q9-A-5|551124202000|17|830|16.6501; 織機|2026090802|21|Q9-A-5|551124202000|17|830|16.6501
134,2,織機|2026090702|61|Q9-A-5|551124202000|17|830|16.6501; 織機|2026090902|21|Q9-A-5|551124202000|17|830|16.6501
135,2,織機|2026090702|21|Q9-A-1|551124201000|17|830|16.65; 織機|2026090802|21|Q9-A-1|551124201000|17|830|16.65
136,2,織機|2026090902|21|Q9-A-1|551124201000|17|830|16.65; 織機|2026091002|21|Q9-A-1|551124201000|17|830|16.65
137,2,織機|2026090702|61|Q9-A-1|551124201000|17|830|16.65; 織機|2026090802|61|Q9-A-1|551124201000|17|830|16.65
138,2,高岡|2026082502|K5|Q9-A-5|551124202000|17|830|16.6501; 高岡|2026082602|K5|Q9-A-5|551124202000|17|830|16.6501
139,2,高岡|2026082702|K5|Q9-A-5|551124202000|17|830|16.6501; 高岡|2026090102|K5|Q9-A-5|551124202000|17|830|16.6501
140,2,高岡|2026090402|K5|Q9-A-5|551124202000|17|830|16.6501; 高岡|2026090802|K5|Q9-A-5|551124202000|17|830|16.6501
141,2,TMK|2026082402|B7|Q9-A-5|551124202000|17|830|16.6501; TMK|2026082502|B7|Q9-A-5|551124202000|17|830|16.6501
142,2,TMK|2026083102|B7|Q9-A-5|551124202000|17|830|16.6501; 高岡|2026082502|K5|Q9-A-1|551124201000|17|830|16.65
143,2,高岡|2026082502|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026082602|K5|Q9-A-1|551124201000|17|830|16.65
144,2,高岡|2026082602|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026082702|K5|Q9-A-1|551124201000|17|830|16.65
145,2,高岡|2026082702|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026082802|K5|Q9-A-1|551124201000|17|830|16.65
146,2,高岡|2026082802|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026083102|K5|Q9-A-1|551124201000|17|830|16.65
147,2,高岡|2026090102|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090102|K5|Q9-A-1|551124201000|17|830|16.65
148,2,高岡|2026090202|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090302|K5|Q9-A-1|551124201000|17|830|16.65
149,2,高岡|2026090302|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090402|K5|Q9-A-1|551124201000|17|830|16.65
150,2,高岡|2026090402|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090502|K5|Q9-A-1|551124201000|17|830|16.65
151,2,高岡|2026090702|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090702|K5|Q9-A-1|551124201000|17|830|16.65
152,2,高岡|2026090802|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090902|K5|Q9-A-1|551124201000|17|830|16.65
153,1,高岡|2026090902|K5|Q9-A-1|551124201000|17|830|16.65
154,1,元町|2026090302|1W|N12-A-8|551115010000|17|600|168.3901
155,1,元町|2026090702|1W|Q10-F-7|576525091400|19|670|62.109
156,2,元町|2026090302|1W|I12-B-5|616415003000|20|600|238.6801; 元町|2026090302|1W|I12-B-5|616455005000|20|600|238.6801
157,4,日野|2026090702|07|Q10-B-3|617756002000|21|500|72.906; 日野|2026090702|W5|Q10-A-20|671466020000|21|500|72.914; 日野|2026090702|W5|Q10-A-22|671456020000|21|500|72.915; 日野|2026090702|W5|Q10-A-22|671456020000|21|500|72.915
158,1,日野|2026090702|07|Q10-B-A|617766004000|21|500|72.9
159,1,日野|2026090902|W5|Q10-A-20|671466020000|21|500|72.914
160,3,KVC|2026082003|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026082003|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026082003|B7|L12-D-8|537224207090|1|515|194.1302
161,4,KVC|2026082103|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026082103|B7|L12-C-5|537214206090|1|515|194.1301; KVC|2026082103|B7|L12-D-8|537224207090|1|515|194.1302; KVC|2026082104|B7|L12-C-5|537214206090|1|515|194.1301
162,4,KVC|2026082403|B7|C15-B-5|581164203000|1|830|313.74; KVC|2026082403|B7|L12-C-5|537214206090|1|515|194.1301; KVC|2026082403|B7|L12-D-8|537224207090|1|515|194.1302; KVC|2026082604|B7|L12-C-5|537214206090|1|515|194.1301
163,3,KVC|2026082503|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026082503|B7|C12-B-6|582114202000|1|550|346.5; KVC|2026082503|B7|C15-A-1|581167801100|1|830|313.7402
164,4,日野|2026090709|07|Q10-B-3|617756002000|21|500|72.906; 日野|2026090709|W5|Q10-A-22|671456020000|21|500|72.915; 高岡|2026082503|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026082503|K5|L12-D-8|537224207000|1|515|194.1302
165,4,KVC|2026082504|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026082504|B7|L12-C-5|537214206090|1|515|194.1301; KVC|2026082504|B7|L12-D-8|537224207090|1|515|194.1302; KVC|2026082703|B7|L12-C-5|537214206090|1|515|194.1301
166,2,KVC|2026082603|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026082603|B7|L12-D-8|537224207090|1|515|194.1302
167,3,KVC|2026082703|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026082703|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026082703|B7|L12-D-8|537224207090|1|515|194.1302
