便,_role_class,パレット数,納入先数,納入先一覧,ローカル山数,Max移動工数,Min移動工数,入車一覧,入車個数
2026090810,1,7,2,KVC/日野,3,313.7402,62.1900,09:25/22:41,2
2026090901,1,16,4,KVC/三栄/日野/織機,7,313.7401,16.6502,06:45/07:10/17:00/23:35,4
2026090902,1,14,4,KVC/日野/織機/高岡,6,313.7402,62.1900,01:00/06:45/18:30/18:46,4
2026090903,1,7,3,KVC/日野/織機,3,313.7402,62.1900,08:30/19:27/22:41,3
2026090904,1,14,3,KVC/日野/織機,6,346.5000,62.1900,10:30/10:51/21:15,3
2026090905,1,11,2,KVC/日野,4,313.7402,62.1900,06:45/14:40/22:18,3
2026090906,1,9,2,KVC/日野,3,313.7402,62.1900,10:51/14:40/23:50,3
2026090907,1,5,2,KVC/日野,2,313.7402,72.9100,01:22/18:46,2
2026090908,1,12,2,KVC/日野,5,313.7402,62.1900,06:29/14:40/18:46,3
2026090909,1,11,2,KVC/日野,5,313.7402,62.1900,07:55/22:41,2
2026090910,1,8,2,KVC/日野,3,313.7402,62.1900,09:25/22:41,2
2026091001,1,2,1,KVC,1,313.7402,194.1302,06:45/18:46,2
2026091003,1,3,1,KVC,1,346.5000,194.1302,10:51/22:41,2
2026091004,1,3,1,KVC,1,313.7402,194.1301,06:45/10:51,2
2026091006,1,3,1,KVC,1,313.7402,194.1301,10:51/14:40,2
