山通番,パレット数,構成
151,2,高岡|2026090802|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026090802|K5|C15-B-5|581164203000|1|830|313.74
152,2,日野|2026090702|07|Q10-B-23|5831160F1000|5|600|72.918; 日野|2026090802|07|Q10-B-23|5831160F1000|5|600|72.918
153,2,日野|2026090902|07|Q10-A-27|5831160F4000|5|600|72.917; 日野|2026091202|07|Q10-B-23|5831160F1000|5|600|72.918
154,2,日野|2026091102|07|Q10-A-27|5831160F4000|5|600|72.917; 日野|2026091202|07|Q10-A-27|5831160F4000|5|600|72.917
155,2,日野|2026091102|07|Q10-A-1|631496003000|11|600|72.903; 日野|2026091102|07|Q10-A-3|631486005000|11|600|72.904
156,2,織機|2026090702|21|Q9-A-5|551124202000|17|830|16.6501; 織機|2026090802|21|Q9-A-5|551124202000|17|830|16.6501
157,2,織機|2026090902|21|Q9-A-5|551124202000|17|830|16.6501; 織機|2026091102|21|Q9-A-5|551124202000|17|830|16.6501
158,2,織機|2026090702|21|Q9-A-1|551124201000|17|830|16.65; 織機|2026090702|61|Q9-A-5|551124202000|17|830|16.6501
159,2,織機|2026090802|21|Q9-A-1|551124201000|17|830|16.65; 織機|2026090902|21|Q9-A-1|551124201000|17|830|16.65
160,2,織機|2026091002|21|Q9-A-1|551124201000|17|830|16.65; 織機|2026091102|21|Q9-A-1|551124201000|17|830|16.65
161,2,織機|2026090702|61|Q9-A-1|551124201000|17|830|16.65; 織機|2026090802|61|Q9-A-1|551124201000|17|830|16.65
162,1,織機|2026091002|61|Q9-A-1|551124201000|17|830|16.65
163,2,高岡|2026082602|K5|Q9-A-5|551124202000|17|830|16.6501; 高岡|2026082702|K5|Q9-A-5|551124202000|17|830|16.6501
164,2,高岡|2026090102|K5|Q9-A-5|551124202000|17|830|16.6501; 高岡|2026090402|K5|Q9-A-5|551124202000|17|830|16.6501
165,2,高岡|2026090802|K5|Q9-A-5|551124202000|17|830|16.6501; 高岡|2026091002|K5|Q9-A-5|551124202000|17|830|16.6501
166,2,TMK|2026082702|B7|Q9-A-5|551124202000|17|830|16.6501; TMK|2026083102|B7|Q9-A-5|551124202000|17|830|16.6501
167,2,高岡|2026082602|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026082602|K5|Q9-A-1|551124201000|17|830|16.65
168,2,高岡|2026082702|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026082702|K5|Q9-A-1|551124201000|17|830|16.65
169,2,高岡|2026082802|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026082802|K5|Q9-A-1|551124201000|17|830|16.65
170,2,高岡|2026083102|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090102|K5|Q9-A-1|551124201000|17|830|16.65
171,2,高岡|2026090102|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090202|K5|Q9-A-1|551124201000|17|830|16.65
172,2,高岡|2026090302|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090302|K5|Q9-A-1|551124201000|17|830|16.65
173,2,高岡|2026090402|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090402|K5|Q9-A-1|551124201000|17|830|16.65
174,2,高岡|2026090502|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090702|K5|Q9-A-1|551124201000|17|830|16.65
175,2,高岡|2026090702|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090802|K5|Q9-A-1|551124201000|17|830|16.65
176,2,高岡|2026090902|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090902|K5|Q9-A-1|551124201000|17|830|16.65
177,2,高岡|2026091002|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026091002|K5|Q9-A-1|551124201000|17|830|16.65
178,1,元町|2026090302|1W|N12-A-8|551115010000|17|600|168.3901
179,1,元町|2026090702|1W|Q10-F-7|576525091400|19|670|62.109
180,2,元町|2026090302|1W|I12-B-5|616415003000|20|600|238.6801; 元町|2026090302|1W|I12-B-5|616455005000|20|600|238.6801
181,4,日野|2026090702|07|Q10-B-3|617756002000|21|500|72.906; 日野|2026090702|W5|Q10-A-20|671466020000|21|500|72.914; 日野|2026090702|W5|Q10-A-22|671456020000|21|500|72.915; 日野|2026090702|W5|Q10-A-22|671456020000|21|500|72.915
182,2,日野|2026090902|W5|Q10-A-20|671466020000|21|500|72.914; 日野|2026091002|W5|Q10-A-20|671466020000|21|500|72.914
183,4,日野|2026090702|07|Q10-B-A|617766004000|21|500|72.9; 日野|2026090802|W5|Q10-A-20|671466020000|21|500|72.914; 日野|2026091202|W5|Q10-A-20|671466020000|21|500|72.914; 日野|2026091202|W5|Q10-A-22|671456020000|21|500|72.915
184,4,KVC|2026082103|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026082103|B7|L12-C-5|537214206090|1|515|194.1301; KVC|2026082103|B7|L12-D-8|537224207090|1|515|194.1302; KVC|2026082703|B7|L12-C-5|537214206090|1|515|194.1301
185,3,KVC|2026082403|B7|C15-B-5|581164203000|1|830|313.74; KVC|2026082403|B7|L12-C-5|537214206090|1|515|194.1301; KVC|2026082403|B7|L12-D-8|537224207090|1|515|194.1302
186,3,KVC|2026082503|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026082503|B7|C12-B-6|582114202000|1|550|346.5; KVC|2026082503|B7|C15-A-1|581167801100|1|830|313.7402
187,2,KVC|2026082603|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026082603|B7|L12-D-8|537224207090|1|515|194.1302
188,3,KVC|2026082703|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026082703|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026082703|B7|L12-D-8|537224207090|1|515|194.1302
189,3,高岡|2026082703|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026082703|K5|L12-C-5|537214206000|1|515|194.1301; 高岡|2026082703|K5|L12-D-8|537224207000|1|515|194.1302
190,3,KVC|2026082803|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026082803|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026082803|B7|L12-D-8|537224207090|1|515|194.1302
191,3,KVC|2026083103|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026083103|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026083103|B7|L12-D-8|537224207090|1|515|194.1302
192,3,元町|2026090103|1W|L12-A-5|571165008000|1|800|204.3; 元町|2026090103|1W|L12-D-1|571155008000|1|800|194.13; 元町|2026090103|1W|N12-B-1|537141101000|1|515|153.54
193,4,日野|2026090909|W5|Q10-A-20|671466020000|21|500|72.914; 日野|2026090909|W5|Q10-A-22|671456020000|21|500|72.915; 高岡|2026090203|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026090203|K5|L12-D-8|537224207000|1|515|194.1302
194,1,織機|2026090703|28|C15-A-3|583114214100|1|750|313.7401
195,3,日野|2026090809|07|Q10-D-23|617426014000|1|750|62.19; 高岡|2026090303|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026091003|K5|C15-A-3|583114214100|1|750|313.7401
196,3,日野|2026091010|07|Q10-A-24|631426010000|1|1000|72.916; 高岡|2026090503|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026090503|K5|L12-C-5|537214206000|1|515|194.1301
197,3,日野|2026090703|06|Q10-A-12|486236006000|1|750|72.912; 日野|2026090703|06|Q10-A-13|486246006000|1|750|72.913; 日野|2026090703|07|Q10-B-5|616246010000|1|500|72.907
198,4,KVC|2026082404|B7|L12-C-5|537214206090|1|515|194.1301; KVC|2026082404|B7|L12-D-8|537224207090|1|515|194.1302; KVC|2026090803|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026090803|B7|L12-C-5|537214206090|1|515|194.1301
199,3,日野|2026090703|07|Q10-A-24|631426010000|1|1000|72.916; 日野|2026090803|06|Q10-A-12|486236006000|1|750|72.912; 日野|2026090803|07|Q10-D-23|617426014000|1|750|62.19
200,4,日野|2026090803|07|Q10-B-1|617766003000|21|500|72.905; 日野|2026090803|W5|Q10-A-20|671466020000|21|500|72.914; 日野|2026090803|W5|Q10-A-22|671456020000|21|500|72.915; 織機|2026090708|28|C15-A-3|583114214100|1|750|313.7401
201,3,織機|2026090803|28|C15-A-3|583114214100|1|750|313.7401; 織機|2026090803|28|C15-A-3|583114214100|1|750|313.7401; 織機|2026090803|61|C15-A-3|583114214100|1|750|313.7401
202,4,日野|2026091009|W5|Q10-A-20|671466020000|21|500|72.914; 日野|2026091009|W5|Q10-A-22|671456020000|21|500|72.915; 高岡|2026090803|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026090803|K5|L12-C-5|537214206000|1|515|194.1301
203,1,KVC|2026090903|B3|C15-A-1|581167801100|1|830|313.7402
204,3,日野|2026090810|07|Q10-A-7|631436012000|1|515|72.909; 日野|2026090810|07|Q10-D-23|617426014000|1|750|62.19; 高岡|2026090403|K5|C15-A-3|583114214100|1|750|313.7401
205,4,日野|2026090811|07|Q10-B-3|617756002000|21|500|72.906; 日野|2026090811|W5|Q10-A-20|671466020000|21|500|72.914; 日野|2026090811|W5|Q10-A-22|671456020000|21|500|72.915; 高岡|2026083103|K5|C15-A-3|583114214100|1|750|313.7401
206,4,元町|2026090703|1W|N12-A-19|571121101000|1|800|168.3904; 日野|2026090812|07|Q10-B-1|617766003000|21|500|72.905; 日野|2026090812|W5|Q10-A-20|671466020000|21|500|72.914; 日野|2026090812|W5|Q10-A-22|671456020000|21|500|72.915
207,3,元町|2026090903|1W|L12-A-5|571165008000|1|800|204.3; 元町|2026090903|1W|L12-D-1|571155008000|1|800|194.13; 元町|2026090903|1W|N12-A-21|571111101000|1|800|168.3905
208,3,日野|2026090903|06|Q10-A-10|486216006000|1|750|72.91; 日野|2026090903|06|Q10-A-12|486236006000|1|750|72.912; 日野|2026090903|07|Q10-D-25|617416014000|1|750|62.1901
209,2,織機|2026090903|28|C15-A-3|583114214100|1|750|313.7401; 織機|2026090903|61|C15-A-3|583114214100|1|750|313.7401
210,3,高岡|2026090703|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026090903|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026090903|K5|L12-D-8|537224207000|1|515|194.1302
211,4,KVC|2026082503|B7|L12-C-5|537214206090|1|515|194.1301; KVC|2026082503|B7|L12-D-8|537224207090|1|515|194.1302; KVC|2026090906|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026090906|B7|L12-C-5|537214206090|1|515|194.1301
212,4,KVC|2026082604|B7|L12-C-5|537214206090|1|515|194.1301; KVC|2026091003|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026091003|B7|C12-B-6|582114202000|1|550|346.5; KVC|2026091003|B7|L12-D-8|537224207090|1|515|194.1302
213,3,日野|2026091003|06|Q10-A-11|486226006000|1|750|72.911; 日野|2026091003|06|Q10-A-13|486246006000|1|750|72.913; 日野|2026091003|07|Q10-D-25|617416014000|1|750|62.1901
214,2,織機|2026091003|28|C15-A-3|583114214100|1|750|313.7401; 織機|2026091003|28|C15-A-3|583114214100|1|750|313.7401
215,2,KVC|2026082803|B7|L12-C-5|537214206090|1|515|194.1301; 織機|2026091004|61|C15-A-3|583114214100|1|750|313.7401
216,2,KVC|2026091103|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026091103|B7|L12-C-5|537214206090|1|515|194.1301
217,2,日野|2026091103|07|Q10-A-24|631426010000|1|1000|72.916; 日野|2026091103|07|Q10-A-24|631426010000|1|1000|72.916
218,3,日野|2026091103|06|Q10-A-11|486226006000|1|750|72.911; 日野|2026091103|06|Q10-A-12|486236006000|1|750|72.912; 日野|2026091103|06|Q10-A-13|486246006000|1|750|72.913
219,1,日野|2026091103|07|Q10-D-25|617416014000|1|750|62.1901
220,3,日野|2026090903|07|Q10-D-23|617426014000|1|750|62.19; 日野|2026091003|07|Q10-D-23|617426014000|1|750|62.19; 日野|2026091203|07|Q10-A-24|631426010000|1|1000|72.916
221,3,日野|2026091203|06|Q10-A-11|486226006000|1|750|72.911; 日野|2026091203|06|Q10-A-12|486236006000|1|750|72.912; 日野|2026091203|06|Q10-A-13|486246006000|1|750|72.913
222,3,日野|2026091203|06|Q10-A-10|486216006000|1|750|72.91; 日野|2026091203|07|Q10-D-23|617426014000|1|750|62.19; 日野|2026091203|07|Q10-D-25|617416014000|1|750|62.1901
223,3,KVC|2026091403|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026091403|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026091403|B7|L12-D-8|537224207090|1|515|194.1302
224,2,元町|2026082703|1W|L12-A-5|571165008000|1|800|204.3; 元町|2026082703|1W|L12-D-1|571155008000|1|800|194.13
225,2,高岡|2026082803|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026082803|K5|C15-B-5|581164203000|1|830|313.74
226,2,高岡|2026090103|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026090103|K5|C15-B-5|581164203000|1|830|313.74
227,2,KVC|2026083103|B7|L12-C-5|537214206090|1|515|194.1301; KVC|2026091404|B7|L12-C-5|537214206090|1|515|194.1301
228,1,高岡|2026082603|K5|C15-A-3|583114214100|1|750|313.7401
229,2,日野|2026091003|07|Q10-B-23|5831160F1000|5|600|72.918; 日野|2026091103|07|Q10-B-23|5831160F1000|5|600|72.918
230,2,日野|2026090703|07|Q10-A-27|5831160F4000|5|600|72.917; 日野|2026090803|07|Q10-A-27|5831160F4000|5|600|72.917
231,1,日野|2026091003|07|Q10-A-27|5831160F4000|5|600|72.917
232,3,元町|2026082703|1W|M12-B-17|572411101000|7|800|168.3902; 元町|2026082703|1W|M12-B-21|572425003000|7|800|168.3903; 元町|2026090103|1W|L12-B-26|572421101000|7|800|182.97
233,1,元町|2026091003|1W|M12-B-17|572411101000|7|800|168.3902
234,2,織機|2026090803|21|Q9-A-5|551124202000|17|830|16.6501; 織機|2026091003|21|Q9-A-5|551124202000|17|830|16.6501
235,2,織機|2026090803|61|Q9-A-5|551124202000|17|830|16.6501; 織機|2026091103|21|Q9-A-5|551124202000|17|830|16.6501
236,2,織機|2026090903|61|Q9-A-5|551124202000|17|830|16.6501; 織機|2026091003|61|Q9-A-5|551124202000|17|830|16.6501
237,2,織機|2026090703|21|Q9-A-1|551124201000|17|830|16.65; 織機|2026090803|21|Q9-A-1|551124201000|17|830|16.65
238,2,織機|2026090903|21|Q9-A-1|551124201000|17|830|16.65; 織機|2026090903|21|Q9-A-1|551124201000|17|830|16.65
239,2,織機|2026091003|21|Q9-A-1|551124201000|17|830|16.65; 織機|2026091103|21|Q9-A-1|551124201000|17|830|16.65
240,2,織機|2026090803|61|Q9-A-1|551124201000|17|830|16.65; 織機|2026091103|21|Q9-A-1|551124201000|17|830|16.65
241,1,織機|2026090903|61|Q9-A-1|551124201000|17|830|16.65
242,2,高岡|2026082603|K5|Q9-A-5|551124202000|17|830|16.6501; 高岡|2026082703|K5|Q9-A-5|551124202000|17|830|16.6501
243,2,高岡|2026082803|K5|Q9-A-5|551124202000|17|830|16.6501; 高岡|2026083103|K5|Q9-A-5|551124202000|17|830|16.6501
244,2,高岡|2026090203|K5|Q9-A-5|551124202000|17|830|16.6501; 高岡|2026090303|K5|Q9-A-5|551124202000|17|830|16.6501
245,2,高岡|2026090703|K5|Q9-A-5|551124202000|17|830|16.6501; 高岡|2026090803|K5|Q9-A-5|551124202000|17|830|16.6501
246,2,高岡|2026090903|K5|Q9-A-5|551124202000|17|830|16.6501; 高岡|2026091003|K5|Q9-A-5|551124202000|17|830|16.6501
247,2,TMK|2026082103|B7|Q9-A-5|551124202000|17|830|16.6501; TMK|2026082404|B7|Q9-A-5|551124202000|17|830|16.6501
248,2,TMK|2026082603|B7|Q9-A-5|551124202000|17|830|16.6501; TMK|2026082704|B7|Q9-A-5|551124202000|17|830|16.6501
249,2,TMK|2026082803|B7|Q9-A-5|551124202000|17|830|16.6501; TMK|2026090804|B7|Q9-A-5|551124202000|17|830|16.6501
250,2,TMK|2026091104|B7|Q9-A-5|551124202000|17|830|16.6501; 高岡|2026082603|K5|Q9-A-1|551124201000|17|830|16.65
251,2,高岡|2026082603|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026082703|K5|Q9-A-1|551124201000|17|830|16.65
252,2,高岡|2026082703|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026082803|K5|Q9-A-1|551124201000|17|830|16.65
253,2,高岡|2026082803|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026082803|K5|Q9-A-1|551124201000|17|830|16.65
254,2,高岡|2026083103|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026083103|K5|Q9-A-1|551124201000|17|830|16.65
255,2,高岡|2026090103|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090103|K5|Q9-A-1|551124201000|17|830|16.65
256,2,高岡|2026090203|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090203|K5|Q9-A-1|551124201000|17|830|16.65
257,2,高岡|2026090303|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090303|K5|Q9-A-1|551124201000|17|830|16.65
258,2,高岡|2026090403|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090503|K5|Q9-A-1|551124201000|17|830|16.65
259,2,高岡|2026090703|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090703|K5|Q9-A-1|551124201000|17|830|16.65
260,2,高岡|2026090803|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090803|K5|Q9-A-1|551124201000|17|830|16.65
261,2,高岡|2026090903|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026091003|K5|Q9-A-1|551124201000|17|830|16.65
262,1,高岡|2026091003|K5|Q9-A-1|551124201000|17|830|16.65
263,3,元町|2026082603|1W|N12-A-6|551115009000|17|600|168.39; 元町|2026090403|1W|C12-B-2|582111190500|17|600|346.501; 元町|2026090903|1W|C12-B-2|582111190500|17|600|346.501
264,4,元町|2026082603|1W|I12-B-5|616415003000|20|600|238.6801; 元町|2026082603|1W|I12-B-5|616455005000|20|600|238.6801; 元町|2026090303|1W|I12-B-3|616425003000|20|600|238.68; 元町|2026090303|1W|I12-B-3|616465005000|20|600|238.68
265,3,三栄|2026090703|1P|Q10-E-20|671456020000|21|500|62.111; 三栄|2026090703|1P|Q10-E-20|671456020000|21|500|62.111; 三栄|2026090703|1P|Q10-E-21|671466020000|21|500|62.112
266,4,日野|2026091003|07|Q10-B-1|617766003000|21|500|72.905; 日野|2026091003|07|Q10-B-3|617756002000|21|500|72.906; 日野|2026091003|W5|Q10-A-20|671466020000|21|500|72.914; 日野|2026091003|W5|Q10-A-22|671456020000|21|500|72.915
267,4,日野|2026091203|07|Q10-B-1|617766003000|21|500|72.905; 日野|2026091203|07|Q10-B-3|617756002000|21|500|72.906; 日野|2026091203|W5|Q10-A-20|671466020000|21|500|72.914; 日野|2026091203|W5|Q10-A-22|671456020000|21|500|72.915
268,2,日野|2026090703|07|Q10-B-1|617766003000|21|500|72.905; 日野|2026090703|W5|Q10-A-20|671466020000|21|500|72.914
269,3,KVC|2026082104|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026082104|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026082104|B7|L12-D-8|537224207090|1|515|194.1302
270,3,KVC|2026082404|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026082404|B7|C12-B-6|582114202000|1|550|346.5; KVC|2026082404|B7|C15-A-1|581167801100|1|830|313.7402
271,4,KVC|2026082504|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026082504|B7|L12-C-5|537214206090|1|515|194.1301; KVC|2026082504|B7|L12-D-8|537224207090|1|515|194.1302; KVC|2026082704|B7|L12-D-8|537224207090|1|515|194.1302
272,3,KVC|2026082604|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026082604|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026082604|B7|L12-D-8|537224207090|1|515|194.1302
273,3,元町|2026082604|1W|N12-A-21|571111101000|1|800|168.3905; 元町|2026082604|1W|N12-B-1|537141101000|1|515|153.54; 日野|2026090813|07|Q10-A-24|631426010000|1|1000|72.916
274,3,高岡|2026082604|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026082604|K5|C15-B-5|581164203000|1|830|313.74; 高岡|2026082604|K5|L12-D-8|537224207000|1|515|194.1302
275,4,KVC|2026082605|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026082605|B7|L12-C-5|537214206090|1|515|194.1301; KVC|2026082605|B7|L12-D-8|537224207090|1|515|194.1302; 高岡|2026082604|K5|L12-C-5|537214206000|1|515|194.1301
276,3,高岡|2026082704|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026082804|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026082804|K5|L12-C-5|537214206000|1|515|194.1301
277,3,KVC|2026083104|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026083104|B7|C12-B-6|582114202000|1|550|346.5; KVC|2026083104|B7|C15-A-1|581167801100|1|830|313.7402
278,3,高岡|2026083104|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026083104|K5|L12-C-5|537214206000|1|515|194.1301; 高岡|2026090204|K5|C15-A-3|583114214100|1|750|313.7401
279,3,元町|2026090204|1W|N12-A-21|571111101000|1|800|168.3905; 元町|2026090204|1W|N12-B-3|537131101000|1|515|153.5401; 日野|2026090713|07|Q10-A-24|631426010000|1|1000|72.916
280,4,日野|2026090912|07|Q10-B-A|617766004000|21|500|72.9; 日野|2026090912|W5|Q10-A-20|671466020000|21|500|72.914; 高岡|2026090304|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026090304|K5|L12-C-5|537214206000|1|515|194.1301
281,4,日野|2026090914|W5|Q10-A-20|671466020000|21|500|72.914; 日野|2026090914|W5|Q10-A-22|671456020000|21|500|72.915; 高岡|2026090404|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026090404|K5|L12-C-5|537214206000|1|515|194.1301
282,4,三栄|2026090704|1P|Q10-E-20|671456020000|21|500|62.111; 三栄|2026090704|1P|Q10-E-21|671466020000|21|500|62.112; 三栄|2026090704|1P|Q10-E-21|671466020000|21|500|62.112; 高岡|2026090105|K5|C15-A-3|583114214100|1|750|313.7401
283,3,日野|2026090704|06|Q10-A-10|486216006000|1|750|72.91; 日野|2026090704|06|Q10-A-11|486226006000|1|750|72.911; 日野|2026090704|06|Q10-A-13|486246006000|1|750|72.913
284,3,日野|2026090704|07|Q10-D-23|617426014000|1|750|62.19; 日野|2026090704|07|Q10-D-25|617416014000|1|750|62.1901; 日野|2026090804|07|Q10-A-24|631426010000|1|1000|72.916
285,3,織機|2026090704|28|C15-A-3|583114214100|1|750|313.7401; 織機|2026090704|28|C15-A-3|583114214100|1|750|313.7401; 織機|2026090704|61|C15-A-3|583114214100|1|750|313.7401
286,3,高岡|2026090704|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026090704|K5|C15-B-5|581164203000|1|830|313.74; 高岡|2026090704|K5|L12-C-5|537214206000|1|515|194.1301
287,3,日野|2026090714|07|Q10-B-5|616246010000|1|500|72.907; 日野|2026090714|07|Q10-D-25|617416014000|1|750|62.1901; 高岡|2026091004|K5|C15-A-3|583114214100|1|750|313.7401
288,4,KVC|2026083104|B7|L12-C-5|537214206090|1|515|194.1301; KVC|2026083104|B7|L12-D-8|537224207090|1|515|194.1302; KVC|2026090804|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026090804|B7|L12-D-8|537224207090|1|515|194.1302
289,3,日野|2026090804|06|Q10-A-11|486226006000|1|750|72.911; 日野|2026090804|06|Q10-A-12|486236006000|1|750|72.912; 日野|2026090804|06|Q10-A-13|486246006000|1|750|72.913
290,3,日野|2026090804|06|Q10-A-10|486216006000|1|750|72.91; 日野|2026090804|07|Q10-D-23|617426014000|1|750|62.19; 日野|2026090804|07|Q10-D-25|617416014000|1|750|62.1901
291,3,日野|2026090911|07|Q10-A-24|631426010000|1|1000|72.916; 織機|2026090804|28|C15-A-3|583114214100|1|750|313.7401; 織機|2026090804|28|C15-A-3|583114214100|1|750|313.7401
292,3,日野|2026090912|07|Q10-A-24|631426010000|1|1000|72.916; 高岡|2026090804|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026090804|K5|L12-D-8|537224207000|1|515|194.1302
293,4,KVC|2026082104|B7|L12-C-5|537214206090|1|515|194.1301; KVC|2026090904|B7|C12-B-6|582114202000|1|550|346.5; KVC|2026090904|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026090904|B7|L12-C-5|537214206090|1|515|194.1301
294,3,日野|2026090904|06|Q10-A-11|486226006000|1|750|72.911; 日野|2026090904|06|Q10-A-12|486236006000|1|750|72.912; 日野|2026090904|06|Q10-A-13|486246006000|1|750|72.913
295,3,日野|2026090904|06|Q10-A-10|486216006000|1|750|72.91; 日野|2026090904|07|Q10-B-5|616246010000|1|500|72.907; 日野|2026090904|07|Q10-D-25|617416014000|1|750|62.1901
296,2,日野|2026090904|07|Q10-D-23|617426014000|1|750|62.19; 日野|2026091204|07|Q10-D-23|617426014000|1|750|62.19
297,3,織機|2026090904|28|C12-B-6|582114202000|1|550|346.5; 織機|2026090904|28|C15-A-3|583114214100|1|750|313.7401; 織機|2026090904|28|C15-A-3|583114214100|1|750|313.7401
298,3,KVC|2026082607|B3|C15-A-1|581167801100|1|830|313.7402; 高岡|2026090904|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026090904|K5|C15-B-5|581164203000|1|830|313.74
299,3,KVC|2026091004|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026091004|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026091004|B7|L12-C-5|537214206090|1|515|194.1301
300,3,日野|2026090904|07|Q10-A-24|631426010000|1|1000|72.916; 日野|2026091004|06|Q10-A-12|486236006000|1|750|72.912; 日野|2026091004|06|Q10-A-13|486246006000|1|750|72.913
301,3,織機|2026091004|28|C12-B-6|582114202000|1|550|346.5; 織機|2026091004|28|C15-A-3|583114214100|1|750|313.7401; 織機|2026091004|28|C15-A-3|583114214100|1|750|313.7401
302,4,元町|2026090404|1W|L12-A-5|571165008000|1|800|204.3; 日野|2026091013|07|Q10-B-3|617756002000|21|500|72.906; 日野|2026091013|W5|Q10-A-20|671466020000|21|500|72.914; 日野|2026091013|W5|Q10-A-22|671456020000|21|500|72.915
303,3,日野|2026091104|06|Q10-A-10|486216006000|1|750|72.91; 日野|2026091104|06|Q10-A-13|486246006000|1|750|72.913; 日野|2026091104|07|Q10-B-5|616246010000|1|500|72.907
304,3,日野|2026091004|07|Q10-A-24|631426010000|1|1000|72.916; 日野|2026091104|07|Q10-D-23|617426014000|1|750|62.19; 日野|2026091104|07|Q10-D-25|617416014000|1|750|62.1901
305,2,日野|2026091104|07|Q10-A-24|631426010000|1|1000|72.916; 日野|2026091204|07|Q10-A-24|631426010000|1|1000|72.916
306,4,日野|2026090704|07|Q10-B-3|617756002000|21|500|72.906; 日野|2026091204|W5|Q10-A-20|671466020000|21|500|72.914; 日野|2026091204|W5|Q10-A-22|671456020000|21|500|72.915; 織機|2026091008|61|C15-A-3|583114214100|1|750|313.7401
307,1,元町|2026082704|1W|N12-B-3|537131101000|1|515|153.5401
308,2,KVC|2026082804|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026082804|B7|L12-D-8|537224207090|1|515|194.1302
309,2,高岡|2026090104|K5|L12-C-5|537214206000|1|515|194.1301; 高岡|2026090104|K5|L12-D-8|537224207000|1|515|194.1302
310,2,KVC|2026091104|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026091104|B7|L12-D-8|537224207090|1|515|194.1302
