山通番,パレット数,構成
31,3,日野|2026090901|07|Q10-B-5|616246010000|1|500|72.907; 日野|2026090901|07|Q10-D-25|617416014000|1|750|62.1901; 日野|2026091201|07|Q10-A-24|631426010000|1|1000|72.916
32,3,織機|2026090901|28|C15-A-3|583114214100|1|750|313.7401; 織機|2026090901|28|C15-A-3|583114214100|1|750|313.7401; 織機|2026090901|61|C15-A-3|583114214100|1|750|313.7401
33,4,日野|2026090904|07|Q10-B-1|617766003000|21|500|72.905; 日野|2026090904|07|Q10-B-3|617756002000|21|500|72.906; 日野|2026090904|W5|Q10-A-22|671456020000|21|500|72.915; 織機|2026090801|61|C15-A-3|583114214100|1|750|313.7401
34,3,KVC|2026091001|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026091001|B7|L12-D-8|537224207090|1|515|194.1302; 日野|2026090711|07|Q10-A-24|631426010000|1|1000|72.916
35,3,日野|2026091001|06|Q10-A-11|486226006000|1|750|72.911; 日野|2026091001|06|Q10-A-12|486236006000|1|750|72.912; 日野|2026091001|06|Q10-A-13|486246006000|1|750|72.913
36,3,日野|2026091001|06|Q10-A-10|486216006000|1|750|72.91; 日野|2026091001|07|Q10-B-5|616246010000|1|500|72.907; 日野|2026091001|07|Q10-B-7|616236014000|1|500|72.908
37,3,日野|2026091001|07|Q10-D-23|617426014000|1|750|62.19; 日野|2026091001|07|Q10-D-25|617416014000|1|750|62.1901; 日野|2026091001|07|Q10-D-25|617416014000|1|750|62.1901
38,4,元町|2026083104|1W|N12-A-19|571121101000|1|800|168.3904; 日野|2026091001|07|Q10-B-1|617766003000|21|500|72.905; 日野|2026091001|07|Q10-B-3|617756002000|21|500|72.906; 日野|2026091001|W5|Q10-A-22|671456020000|21|500|72.915
39,3,日野|2026090806|07|Q10-A-24|631426010000|1|1000|72.916; 織機|2026091001|28|C15-A-3|583114214100|1|750|313.7401; 織機|2026091001|28|C15-A-3|583114214100|1|750|313.7401
40,4,日野|2026091005|07|Q10-B-1|617766003000|21|500|72.905; 日野|2026091005|W5|Q10-A-20|671466020000|21|500|72.914; 日野|2026091005|W5|Q10-A-22|671456020000|21|500|72.915; 高岡|2026090101|K5|C15-A-3|583114214100|1|750|313.7401
41,3,日野|2026090801|07|Q10-A-24|631426010000|1|1000|72.916; 高岡|2026091005|K5|C15-B-5|581164203000|1|830|313.74; 高岡|2026091005|K5|L12-C-5|537214206000|1|515|194.1301
42,1,KVC|2026082601|B7|L12-C-5|537214206090|1|515|194.1301
43,3,KVC|2026091101|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026091101|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026091101|B7|L12-C-5|537214206090|1|515|194.1301
44,3,日野|2026091101|06|Q10-A-11|486226006000|1|750|72.911; 日野|2026091101|06|Q10-A-13|486246006000|1|750|72.913; 日野|2026091101|07|Q10-B-7|616236014000|1|500|72.908
45,3,日野|2026091101|07|Q10-B-5|616246010000|1|500|72.907; 日野|2026091101|07|Q10-D-23|617426014000|1|750|62.19; 日野|2026091101|07|Q10-D-25|617416014000|1|750|62.1901
46,3,日野|2026090805|07|Q10-A-24|631426010000|1|1000|72.916; 織機|2026091101|28|C15-A-3|583114214100|1|750|313.7401; 織機|2026091101|28|C15-A-3|583114214100|1|750|313.7401
47,3,日野|2026090803|07|Q10-A-24|631426010000|1|1000|72.916; 高岡|2026091101|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026091101|K5|L12-D-8|537224207000|1|515|194.1302
48,4,KVC|2026082401|B7|L12-C-5|537214206090|1|515|194.1301; KVC|2026091102|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026091102|B7|C12-B-6|582114202000|1|550|346.5; KVC|2026091102|B7|L12-D-8|537224207090|1|515|194.1302
49,4,日野|2026091103|07|Q10-B-3|617756002000|21|500|72.906; 日野|2026091103|W5|Q10-A-20|671466020000|21|500|72.914; 日野|2026091103|W5|Q10-A-22|671456020000|21|500|72.915; 高岡|2026091001|K5|C15-A-3|583114214100|1|750|313.7401
50,3,日野|2026091201|06|Q10-A-12|486236006000|1|750|72.912; 日野|2026091201|06|Q10-A-13|486246006000|1|750|72.913; 日野|2026091201|07|Q10-A-30|631426011000|1|515|72.919
51,3,日野|2026091201|06|Q10-A-10|486216006000|1|750|72.91; 日野|2026091201|06|Q10-A-11|486226006000|1|750|72.911; 日野|2026091201|07|Q10-A-7|631436012000|1|515|72.909
52,3,日野|2026091201|07|Q10-B-5|616246010000|1|500|72.907; 日野|2026091201|07|Q10-B-7|616236014000|1|500|72.908; 日野|2026091201|07|Q10-D-25|617416014000|1|750|62.1901
53,3,日野|2026091201|07|Q10-D-23|617426014000|1|750|62.19; 日野|2026091201|07|Q10-D-23|617426014000|1|750|62.19; 日野|2026091201|07|Q10-D-25|617416014000|1|750|62.1901
54,3,KVC|2026091401|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026091401|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026091401|B7|L12-D-8|537224207090|1|515|194.1302
55,1,三栄|2026091101|2P|Q9-A-9|631426010000|1|1000|16.6502
56,1,三栄|2026090801|2P|Q9-A-9|631426010000|1|1000|16.6502
57,2,日野|2026090901|07|Q10-B-23|5831160F1000|5|600|72.918; 日野|2026091001|07|Q10-B-23|5831160F1000|5|600|72.918
58,2,日野|2026091101|07|Q10-B-23|5831160F1000|5|600|72.918; 日野|2026091201|07|Q10-B-23|5831160F1000|5|600|72.918
59,2,日野|2026090801|07|Q10-A-27|5831160F4000|5|600|72.917; 日野|2026091001|07|Q10-A-27|5831160F4000|5|600|72.917
60,1,日野|2026091201|07|Q10-A-27|5831160F4000|5|600|72.917
61,1,元町|2026090401|1W|M12-B-17|572411101000|7|800|168.3902
62,4,三栄|2026090801|2P|Q11-C-A|631496003000|11|600|119.43; 三栄|2026090801|2P|Q11-C-A|631496003000|11|600|119.43; 三栄|2026090801|2P|Q11-C-A|631496003000|11|600|119.43; 三栄|2026090801|2P|Q8-A-A|631486005000|11|600|26.2802
63,2,三栄|2026090801|2P|Q8-A-A|631486005000|11|600|26.2802; 三栄|2026090801|2P|Q8-A-A|631486005000|11|600|26.2802
64,2,日野|2026091201|07|Q10-A-1|631496003000|11|600|72.903; 日野|2026091201|07|Q10-A-3|631486005000|11|600|72.904
65,2,TMK|2026082101|B7|Q9-A-5|551124202000|17|830|16.6501; TMK|2026082402|B7|Q9-A-5|551124202000|17|830|16.6501
66,2,TMK|2026082502|B7|Q9-A-5|551124202000|17|830|16.6501; TMK|2026082601|B7|Q9-A-5|551124202000|17|830|16.6501
67,3,元町|2026082601|1W|N12-A-8|551115010000|17|600|168.3901; 元町|2026090101|1W|C12-B-2|582111190500|17|600|346.501; 高岡|2026082601|K5|Q9-A-5|551124202000|17|830|16.6501
68,2,高岡|2026082801|K5|Q9-A-5|551124202000|17|830|16.6501; 高岡|2026083101|K5|Q9-A-5|551124202000|17|830|16.6501
69,2,高岡|2026090201|K5|Q9-A-5|551124202000|17|830|16.6501; 高岡|2026090301|K5|Q9-A-5|551124202000|17|830|16.6501
70,2,高岡|2026090501|K5|Q9-A-5|551124202000|17|830|16.6501; 高岡|2026090701|K5|Q9-A-5|551124202000|17|830|16.6501
71,2,高岡|2026090801|K5|Q9-A-5|551124202000|17|830|16.6501; 高岡|2026090901|K5|Q9-A-5|551124202000|17|830|16.6501
72,2,高岡|2026091001|K5|Q9-A-5|551124202000|17|830|16.6501; 高岡|2026091101|K5|Q9-A-5|551124202000|17|830|16.6501
73,2,高岡|2026082601|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026082601|K5|Q9-A-1|551124201000|17|830|16.65
