山通番,パレット数,構成
157,1,元町|2026090302|1W|N12-A-19|571121101000|1|800|168.3904
158,2,日野|2026090702|07|Q10-B-23|5831160F1000|5|600|72.918; 日野|2026090802|07|Q10-B-23|5831160F1000|5|600|72.918
159,2,日野|2026090902|07|Q10-A-27|5831160F4000|5|600|72.917; 日野|2026091202|07|Q10-B-23|5831160F1000|5|600|72.918
160,2,日野|2026091102|07|Q10-A-27|5831160F4000|5|600|72.917; 日野|2026091202|07|Q10-A-27|5831160F4000|5|600|72.917
161,2,日野|2026091102|07|Q10-A-1|631496003000|11|600|72.903; 日野|2026091102|07|Q10-A-3|631486005000|11|600|72.904
162,2,織機|2026090702|21|Q9-A-5|551124202000|17|830|16.6501; 織機|2026090802|21|Q9-A-5|551124202000|17|830|16.6501
163,2,織機|2026090902|21|Q9-A-5|551124202000|17|830|16.6501; 織機|2026091102|21|Q9-A-5|551124202000|17|830|16.6501
164,2,織機|2026090702|21|Q9-A-1|551124201000|17|830|16.65; 織機|2026090702|61|Q9-A-5|551124202000|17|830|16.6501
165,2,織機|2026090802|21|Q9-A-1|551124201000|17|830|16.65; 織機|2026090902|21|Q9-A-1|551124201000|17|830|16.65
166,2,織機|2026091002|21|Q9-A-1|551124201000|17|830|16.65; 織機|2026091102|21|Q9-A-1|551124201000|17|830|16.65
167,2,織機|2026090702|61|Q9-A-1|551124201000|17|830|16.65; 織機|2026090802|61|Q9-A-1|551124201000|17|830|16.65
168,1,織機|2026091002|61|Q9-A-1|551124201000|17|830|16.65
169,2,高岡|2026082602|K5|Q9-A-5|551124202000|17|830|16.6501; 高岡|2026082702|K5|Q9-A-5|551124202000|17|830|16.6501
170,2,高岡|2026090102|K5|Q9-A-5|551124202000|17|830|16.6501; 高岡|2026090402|K5|Q9-A-5|551124202000|17|830|16.6501
171,2,高岡|2026090802|K5|Q9-A-5|551124202000|17|830|16.6501; 高岡|2026091002|K5|Q9-A-5|551124202000|17|830|16.6501
172,2,TMK|2026082702|B7|Q9-A-5|551124202000|17|830|16.6501; TMK|2026083102|B7|Q9-A-5|551124202000|17|830|16.6501
173,2,高岡|2026082602|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026082602|K5|Q9-A-1|551124201000|17|830|16.65
174,2,高岡|2026082702|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026082702|K5|Q9-A-1|551124201000|17|830|16.65
175,2,高岡|2026082802|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026082802|K5|Q9-A-1|551124201000|17|830|16.65
176,2,高岡|2026083102|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090102|K5|Q9-A-1|551124201000|17|830|16.65
177,2,高岡|2026090102|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090202|K5|Q9-A-1|551124201000|17|830|16.65
178,2,高岡|2026090302|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090302|K5|Q9-A-1|551124201000|17|830|16.65
179,2,高岡|2026090402|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090402|K5|Q9-A-1|551124201000|17|830|16.65
180,2,高岡|2026090502|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090702|K5|Q9-A-1|551124201000|17|830|16.65
181,2,高岡|2026090702|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090802|K5|Q9-A-1|551124201000|17|830|16.65
182,2,高岡|2026090902|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090902|K5|Q9-A-1|551124201000|17|830|16.65
183,2,高岡|2026091002|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026091002|K5|Q9-A-1|551124201000|17|830|16.65
184,1,元町|2026090302|1W|N12-A-8|551115010000|17|600|168.3901
185,1,元町|2026090702|1W|Q10-F-7|576525091400|19|670|62.109
186,2,元町|2026090302|1W|I12-B-5|616415003000|20|600|238.6801; 元町|2026090302|1W|I12-B-5|616455005000|20|600|238.6801
187,4,日野|2026090702|07|Q10-B-3|617756002000|21|500|72.906; 日野|2026090702|W5|Q10-A-20|671466020000|21|500|72.914; 日野|2026090702|W5|Q10-A-22|671456020000|21|500|72.915; 日野|2026090702|W5|Q10-A-22|671456020000|21|500|72.915
188,3,日野|2026090702|07|Q10-B-A|617766004000|21|500|72.9; 日野|2026090902|W5|Q10-A-20|671466020000|21|500|72.914; 日野|2026091002|W5|Q10-A-20|671466020000|21|500|72.914
189,4,KVC|2026082103|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026082103|B7|L12-C-5|537214206090|1|515|194.1301; KVC|2026082103|B7|L12-D-8|537224207090|1|515|194.1302; KVC|2026082703|B7|L12-C-5|537214206090|1|515|194.1301
190,3,KVC|2026082403|B7|C15-B-5|581164203000|1|830|313.74; KVC|2026082403|B7|L12-C-5|537214206090|1|515|194.1301; KVC|2026082403|B7|L12-D-8|537224207090|1|515|194.1302
191,1,高岡|2026083103|K5|C15-A-3|583114214100|1|750|313.7401
192,3,KVC|2026082503|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026082503|B7|C12-B-6|582114202000|1|550|346.5; KVC|2026082503|B7|C15-A-1|581167801100|1|830|313.7402
193,2,KVC|2026082603|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026082603|B7|L12-D-8|537224207090|1|515|194.1302
194,3,KVC|2026082703|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026082703|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026082703|B7|L12-D-8|537224207090|1|515|194.1302
195,3,高岡|2026082703|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026082703|K5|L12-C-5|537214206000|1|515|194.1301; 高岡|2026082703|K5|L12-D-8|537224207000|1|515|194.1302
196,3,KVC|2026082803|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026082803|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026082803|B7|L12-D-8|537224207090|1|515|194.1302
197,3,KVC|2026083103|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026083103|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026083103|B7|L12-D-8|537224207090|1|515|194.1302
198,3,元町|2026090103|1W|L12-A-5|571165008000|1|800|204.3; 元町|2026090103|1W|L12-D-1|571155008000|1|800|194.13; 元町|2026090103|1W|N12-B-1|537141101000|1|515|153.54
199,3,日野|2026091010|07|Q10-A-24|631426010000|1|1000|72.916; 高岡|2026090203|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026090203|K5|L12-D-8|537224207000|1|515|194.1302
200,4,日野|2026090909|W5|Q10-A-20|671466020000|21|500|72.914; 日野|2026090909|W5|Q10-A-22|671456020000|21|500|72.915; 高岡|2026090503|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026090503|K5|L12-C-5|537214206000|1|515|194.1301
201,4,三栄|2026090703|1P|Q10-E-20|671456020000|21|500|62.111; 三栄|2026090703|1P|Q10-E-20|671456020000|21|500|62.111; 三栄|2026090703|1P|Q10-E-21|671466020000|21|500|62.112; 元町|2026090403|1W|L12-D-1|571155008000|1|800|194.13
202,3,日野|2026090703|06|Q10-A-12|486236006000|1|750|72.912; 日野|2026090703|06|Q10-A-13|486246006000|1|750|72.913; 日野|2026090703|07|Q10-B-5|616246010000|1|500|72.907
203,1,織機|2026090703|28|C15-A-3|583114214100|1|750|313.7401
204,2,KVC|2026082803|B7|L12-C-5|537214206090|1|515|194.1301; 日野|2026090711|07|Q10-D-23|617426014000|1|750|62.19
205,4,KVC|2026082404|B7|L12-C-5|537214206090|1|515|194.1301; KVC|2026082404|B7|L12-D-8|537224207090|1|515|194.1302; KVC|2026090803|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026090803|B7|L12-C-5|537214206090|1|515|194.1301
206,3,日野|2026090803|07|Q10-A-24|631426010000|1|1000|72.916; 日野|2026090903|07|Q10-D-23|617426014000|1|750|62.19; 日野|2026091003|07|Q10-D-23|617426014000|1|750|62.19
207,3,日野|2026090803|06|Q10-A-12|486236006000|1|750|72.912; 日野|2026090803|07|Q10-D-23|617426014000|1|750|62.19; 日野|2026091203|07|Q10-A-24|631426010000|1|1000|72.916
208,3,織機|2026090803|28|C15-A-3|583114214100|1|750|313.7401; 織機|2026090803|28|C15-A-3|583114214100|1|750|313.7401; 織機|2026090803|61|C15-A-3|583114214100|1|750|313.7401
209,3,日野|2026091009|07|Q10-A-24|631426010000|1|1000|72.916; 高岡|2026090803|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026090803|K5|L12-C-5|537214206000|1|515|194.1301
210,1,KVC|2026090903|B3|C15-A-1|581167801100|1|830|313.7402
211,3,日野|2026090809|07|Q10-D-23|617426014000|1|750|62.19; 高岡|2026090703|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026091003|K5|C15-A-3|583114214100|1|750|313.7401
212,3,日野|2026090810|07|Q10-A-7|631436012000|1|515|72.909; 日野|2026090810|07|Q10-D-23|617426014000|1|750|62.19; 高岡|2026090303|K5|C15-A-3|583114214100|1|750|313.7401
213,4,日野|2026090811|07|Q10-B-3|617756002000|21|500|72.906; 日野|2026090811|W5|Q10-A-20|671466020000|21|500|72.914; 日野|2026090811|W5|Q10-A-22|671456020000|21|500|72.915; 高岡|2026090403|K5|C15-A-3|583114214100|1|750|313.7401
214,3,元町|2026090903|1W|L12-A-5|571165008000|1|800|204.3; 元町|2026090903|1W|L12-D-1|571155008000|1|800|194.13; 元町|2026090903|1W|N12-A-21|571111101000|1|800|168.3905
215,3,日野|2026090903|06|Q10-A-10|486216006000|1|750|72.91; 日野|2026090903|06|Q10-A-12|486236006000|1|750|72.912; 日野|2026090903|07|Q10-D-25|617416014000|1|750|62.1901
216,2,織機|2026090903|28|C15-A-3|583114214100|1|750|313.7401; 織機|2026090903|61|C15-A-3|583114214100|1|750|313.7401
217,2,高岡|2026090903|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026090903|K5|L12-D-8|537224207000|1|515|194.1302
218,4,KVC|2026082503|B7|L12-C-5|537214206090|1|515|194.1301; KVC|2026082503|B7|L12-D-8|537224207090|1|515|194.1302; KVC|2026090906|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026090906|B7|L12-C-5|537214206090|1|515|194.1301
219,4,KVC|2026082604|B7|L12-C-5|537214206090|1|515|194.1301; KVC|2026091003|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026091003|B7|C12-B-6|582114202000|1|550|346.5; KVC|2026091003|B7|L12-D-8|537224207090|1|515|194.1302
220,3,日野|2026091003|06|Q10-A-11|486226006000|1|750|72.911; 日野|2026091003|06|Q10-A-13|486246006000|1|750|72.913; 日野|2026091003|07|Q10-D-25|617416014000|1|750|62.1901
221,2,織機|2026091003|28|C15-A-3|583114214100|1|750|313.7401; 織機|2026091003|28|C15-A-3|583114214100|1|750|313.7401
222,2,KVC|2026083103|B7|L12-C-5|537214206090|1|515|194.1301; 元町|2026090804|1W|N12-B-3|537131101000|1|515|153.5401
223,2,KVC|2026091103|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026091103|B7|L12-C-5|537214206090|1|515|194.1301
224,2,日野|2026091103|07|Q10-A-24|631426010000|1|1000|72.916; 日野|2026091103|07|Q10-A-24|631426010000|1|1000|72.916
225,3,日野|2026091103|06|Q10-A-11|486226006000|1|750|72.911; 日野|2026091103|06|Q10-A-12|486236006000|1|750|72.912; 日野|2026091103|06|Q10-A-13|486246006000|1|750|72.913
226,1,日野|2026091103|07|Q10-D-25|617416014000|1|750|62.1901
227,4,日野|2026091103|07|Q10-B-3|617756002000|21|500|72.906; 日野|2026091103|W5|Q10-A-20|671466020000|21|500|72.914; 日野|2026091103|W5|Q10-A-22|671456020000|21|500|72.915; 織機|2026090708|28|C15-A-3|583114214100|1|750|313.7401
228,4,KVC|2026091109|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026091109|B7|L12-D-8|537224207090|1|515|194.1302; 日野|2026090703|07|Q10-B-1|617766003000|21|500|72.905; 日野|2026090703|W5|Q10-A-20|671466020000|21|500|72.914
229,3,日野|2026091203|06|Q10-A-11|486226006000|1|750|72.911; 日野|2026091203|06|Q10-A-12|486236006000|1|750|72.912; 日野|2026091203|06|Q10-A-13|486246006000|1|750|72.913
230,3,日野|2026091203|06|Q10-A-10|486216006000|1|750|72.91; 日野|2026091203|07|Q10-D-23|617426014000|1|750|62.19; 日野|2026091203|07|Q10-D-25|617416014000|1|750|62.1901
231,3,KVC|2026091403|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026091403|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026091403|B7|L12-D-8|537224207090|1|515|194.1302
232,2,元町|2026082703|1W|L12-A-5|571165008000|1|800|204.3; 元町|2026082703|1W|L12-D-1|571155008000|1|800|194.13
233,2,高岡|2026082803|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026082803|K5|C15-B-5|581164203000|1|830|313.74
234,2,高岡|2026090103|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026090103|K5|C15-B-5|581164203000|1|830|313.74
235,1,高岡|2026082603|K5|C15-A-3|583114214100|1|750|313.7401
236,2,日野|2026091003|07|Q10-B-23|5831160F1000|5|600|72.918; 日野|2026091103|07|Q10-B-23|5831160F1000|5|600|72.918
237,2,日野|2026090703|07|Q10-A-27|5831160F4000|5|600|72.917; 日野|2026090803|07|Q10-A-27|5831160F4000|5|600|72.917
238,1,日野|2026091003|07|Q10-A-27|5831160F4000|5|600|72.917
239,3,元町|2026082703|1W|M12-B-17|572411101000|7|800|168.3902; 元町|2026082703|1W|M12-B-21|572425003000|7|800|168.3903; 元町|2026090103|1W|L12-B-26|572421101000|7|800|182.97
240,1,元町|2026091003|1W|M12-B-17|572411101000|7|800|168.3902
241,2,織機|2026090803|21|Q9-A-5|551124202000|17|830|16.6501; 織機|2026091003|21|Q9-A-5|551124202000|17|830|16.6501
242,2,織機|2026090803|61|Q9-A-5|551124202000|17|830|16.6501; 織機|2026091103|21|Q9-A-5|551124202000|17|830|16.6501
243,2,織機|2026090903|61|Q9-A-5|551124202000|17|830|16.6501; 織機|2026091003|61|Q9-A-5|551124202000|17|830|16.6501
244,2,織機|2026090703|21|Q9-A-1|551124201000|17|830|16.65; 織機|2026090803|21|Q9-A-1|551124201000|17|830|16.65
245,2,織機|2026090903|21|Q9-A-1|551124201000|17|830|16.65; 織機|2026090903|21|Q9-A-1|551124201000|17|830|16.65
246,2,織機|2026091003|21|Q9-A-1|551124201000|17|830|16.65; 織機|2026091103|21|Q9-A-1|551124201000|17|830|16.65
247,2,織機|2026090803|61|Q9-A-1|551124201000|17|830|16.65; 織機|2026091103|21|Q9-A-1|551124201000|17|830|16.65
248,1,織機|2026090903|61|Q9-A-1|551124201000|17|830|16.65
249,2,高岡|2026082603|K5|Q9-A-5|551124202000|17|830|16.6501; 高岡|2026082703|K5|Q9-A-5|551124202000|17|830|16.6501
250,2,高岡|2026082803|K5|Q9-A-5|551124202000|17|830|16.6501; 高岡|2026083103|K5|Q9-A-5|551124202000|17|830|16.6501
251,2,高岡|2026090203|K5|Q9-A-5|551124202000|17|830|16.6501; 高岡|2026090303|K5|Q9-A-5|551124202000|17|830|16.6501
252,2,高岡|2026090703|K5|Q9-A-5|551124202000|17|830|16.6501; 高岡|2026090803|K5|Q9-A-5|551124202000|17|830|16.6501
253,2,高岡|2026090903|K5|Q9-A-5|551124202000|17|830|16.6501; 高岡|2026091003|K5|Q9-A-5|551124202000|17|830|16.6501
254,2,TMK|2026082103|B7|Q9-A-5|551124202000|17|830|16.6501; TMK|2026082404|B7|Q9-A-5|551124202000|17|830|16.6501
255,2,TMK|2026082603|B7|Q9-A-5|551124202000|17|830|16.6501; TMK|2026082704|B7|Q9-A-5|551124202000|17|830|16.6501
256,2,TMK|2026082803|B7|Q9-A-5|551124202000|17|830|16.6501; TMK|2026090804|B7|Q9-A-5|551124202000|17|830|16.6501
257,2,TMK|2026091104|B7|Q9-A-5|551124202000|17|830|16.6501; 高岡|2026082603|K5|Q9-A-1|551124201000|17|830|16.65
258,2,高岡|2026082603|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026082703|K5|Q9-A-1|551124201000|17|830|16.65
259,2,高岡|2026082703|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026082803|K5|Q9-A-1|551124201000|17|830|16.65
260,2,高岡|2026082803|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026082803|K5|Q9-A-1|551124201000|17|830|16.65
261,2,高岡|2026083103|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026083103|K5|Q9-A-1|551124201000|17|830|16.65
262,2,高岡|2026090103|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090103|K5|Q9-A-1|551124201000|17|830|16.65
263,2,高岡|2026090203|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090203|K5|Q9-A-1|551124201000|17|830|16.65
264,2,高岡|2026090303|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090303|K5|Q9-A-1|551124201000|17|830|16.65
265,2,高岡|2026090403|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090503|K5|Q9-A-1|551124201000|17|830|16.65
266,2,高岡|2026090703|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090703|K5|Q9-A-1|551124201000|17|830|16.65
267,2,高岡|2026090803|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026090803|K5|Q9-A-1|551124201000|17|830|16.65
268,2,高岡|2026090903|K5|Q9-A-1|551124201000|17|830|16.65; 高岡|2026091003|K5|Q9-A-1|551124201000|17|830|16.65
269,1,高岡|2026091003|K5|Q9-A-1|551124201000|17|830|16.65
270,3,元町|2026082603|1W|N12-A-6|551115009000|17|600|168.39; 元町|2026090403|1W|C12-B-2|582111190500|17|600|346.501; 元町|2026090903|1W|C12-B-2|582111190500|17|600|346.501
271,4,元町|2026082603|1W|I12-B-5|616415003000|20|600|238.6801; 元町|2026082603|1W|I12-B-5|616455005000|20|600|238.6801; 元町|2026090303|1W|I12-B-3|616425003000|20|600|238.68; 元町|2026090303|1W|I12-B-3|616465005000|20|600|238.68
272,2,日野|2026090903|W5|Q10-A-20|671466020000|21|500|72.914; 日野|2026090903|W5|Q10-A-22|671456020000|21|500|72.915
273,4,日野|2026091003|07|Q10-B-1|617766003000|21|500|72.905; 日野|2026091003|07|Q10-B-3|617756002000|21|500|72.906; 日野|2026091003|W5|Q10-A-20|671466020000|21|500|72.914; 日野|2026091003|W5|Q10-A-22|671456020000|21|500|72.915
274,4,日野|2026091203|07|Q10-B-1|617766003000|21|500|72.905; 日野|2026091203|07|Q10-B-3|617756002000|21|500|72.906; 日野|2026091203|W5|Q10-A-20|671466020000|21|500|72.914; 日野|2026091203|W5|Q10-A-22|671456020000|21|500|72.915
275,3,KVC|2026082104|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026082104|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026082104|B7|L12-D-8|537224207090|1|515|194.1302
276,3,KVC|2026082404|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026082404|B7|C12-B-6|582114202000|1|550|346.5; KVC|2026082404|B7|C15-A-1|581167801100|1|830|313.7402
277,4,KVC|2026082504|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026082504|B7|L12-C-5|537214206090|1|515|194.1301; KVC|2026082504|B7|L12-D-8|537224207090|1|515|194.1302; KVC|2026082704|B7|L12-D-8|537224207090|1|515|194.1302
278,3,KVC|2026082604|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026082604|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026082604|B7|L12-D-8|537224207090|1|515|194.1302
279,3,元町|2026082604|1W|N12-A-21|571111101000|1|800|168.3905; 元町|2026082604|1W|N12-B-1|537141101000|1|515|153.54; 日野|2026091013|07|Q10-A-24|631426010000|1|1000|72.916
280,3,高岡|2026082604|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026082604|K5|C15-B-5|581164203000|1|830|313.74; 高岡|2026082604|K5|L12-D-8|537224207000|1|515|194.1302
281,4,KVC|2026082605|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026082605|B7|L12-C-5|537214206090|1|515|194.1301; KVC|2026082605|B7|L12-D-8|537224207090|1|515|194.1302; 高岡|2026082604|K5|L12-C-5|537214206000|1|515|194.1301
282,3,日野|2026090912|07|Q10-A-24|631426010000|1|1000|72.916; 高岡|2026082804|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026082804|K5|L12-C-5|537214206000|1|515|194.1301
283,3,KVC|2026083104|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026083104|B7|C12-B-6|582114202000|1|550|346.5; KVC|2026083104|B7|C15-A-1|581167801100|1|830|313.7402
284,3,高岡|2026083104|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026083104|K5|L12-C-5|537214206000|1|515|194.1301; 高岡|2026090204|K5|C15-A-3|583114214100|1|750|313.7401
285,3,元町|2026090204|1W|N12-A-21|571111101000|1|800|168.3905; 元町|2026090204|1W|N12-B-3|537131101000|1|515|153.5401; 日野|2026091014|07|Q10-A-24|631426010000|1|1000|72.916
286,4,日野|2026090814|07|Q10-B-B|617756003000|21|500|72.901; 日野|2026090814|W5|Q10-A-22|671456020000|21|500|72.915; 高岡|2026090304|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026090304|K5|L12-C-5|537214206000|1|515|194.1301
287,4,日野|2026090912|07|Q10-B-A|617766004000|21|500|72.9; 日野|2026090912|W5|Q10-A-20|671466020000|21|500|72.914; 高岡|2026090404|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026090404|K5|L12-C-5|537214206000|1|515|194.1301
288,3,日野|2026090704|06|Q10-A-10|486216006000|1|750|72.91; 日野|2026090704|06|Q10-A-11|486226006000|1|750|72.911; 日野|2026090704|06|Q10-A-13|486246006000|1|750|72.913
289,3,日野|2026090704|07|Q10-D-23|617426014000|1|750|62.19; 日野|2026090704|07|Q10-D-25|617416014000|1|750|62.1901; 日野|2026090804|07|Q10-A-24|631426010000|1|1000|72.916
290,3,織機|2026090704|28|C15-A-3|583114214100|1|750|313.7401; 織機|2026090704|28|C15-A-3|583114214100|1|750|313.7401; 織機|2026090704|61|C15-A-3|583114214100|1|750|313.7401
291,3,高岡|2026090704|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026090704|K5|C15-B-5|581164203000|1|830|313.74; 高岡|2026090704|K5|L12-C-5|537214206000|1|515|194.1301
292,1,元町|2026083104|1W|N12-A-19|571121101000|1|800|168.3904
293,4,KVC|2026083104|B7|L12-C-5|537214206090|1|515|194.1301; KVC|2026083104|B7|L12-D-8|537224207090|1|515|194.1302; KVC|2026090804|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026090804|B7|L12-D-8|537224207090|1|515|194.1302
294,3,日野|2026090804|06|Q10-A-11|486226006000|1|750|72.911; 日野|2026090804|06|Q10-A-12|486236006000|1|750|72.912; 日野|2026090804|06|Q10-A-13|486246006000|1|750|72.913
295,3,日野|2026090804|06|Q10-A-10|486216006000|1|750|72.91; 日野|2026090804|07|Q10-D-23|617426014000|1|750|62.19; 日野|2026090804|07|Q10-D-25|617416014000|1|750|62.1901
296,4,KVC|2026091009|B7|C15-A-1|581167801100|1|830|313.7402; 日野|2026090804|07|Q10-B-3|617756002000|21|500|72.906; 日野|2026090804|W5|Q10-A-20|671466020000|21|500|72.914; 日野|2026090804|W5|Q10-A-22|671456020000|21|500|72.915
297,3,日野|2026090911|07|Q10-A-24|631426010000|1|1000|72.916; 織機|2026090804|28|C15-A-3|583114214100|1|750|313.7401; 織機|2026090804|28|C15-A-3|583114214100|1|750|313.7401
298,3,日野|2026090814|07|Q10-A-24|631426010000|1|1000|72.916; 高岡|2026090804|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026090804|K5|L12-D-8|537224207000|1|515|194.1302
299,3,日野|2026090812|07|Q10-D-23|617426014000|1|750|62.19; 織機|2026090805|61|C15-A-3|583114214100|1|750|313.7401; 高岡|2026091004|K5|C15-A-3|583114214100|1|750|313.7401
300,4,日野|2026090812|07|Q10-B-1|617766003000|21|500|72.905; 日野|2026090812|W5|Q10-A-20|671466020000|21|500|72.914; 日野|2026090812|W5|Q10-A-22|671456020000|21|500|72.915; 高岡|2026082704|K5|C15-A-3|583114214100|1|750|313.7401
301,4,KVC|2026082104|B7|L12-C-5|537214206090|1|515|194.1301; KVC|2026090904|B7|C12-B-6|582114202000|1|550|346.5; KVC|2026090904|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026090904|B7|L12-C-5|537214206090|1|515|194.1301
302,3,日野|2026090904|06|Q10-A-11|486226006000|1|750|72.911; 日野|2026090904|06|Q10-A-12|486236006000|1|750|72.912; 日野|2026090904|06|Q10-A-13|486246006000|1|750|72.913
303,3,日野|2026090904|06|Q10-A-10|486216006000|1|750|72.91; 日野|2026090904|07|Q10-B-5|616246010000|1|500|72.907; 日野|2026090904|07|Q10-D-25|617416014000|1|750|62.1901
304,3,織機|2026090904|28|C12-B-6|582114202000|1|550|346.5; 織機|2026090904|28|C15-A-3|583114214100|1|750|313.7401; 織機|2026090904|28|C15-A-3|583114214100|1|750|313.7401
305,2,高岡|2026090904|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026090904|K5|C15-B-5|581164203000|1|830|313.74
306,3,KVC|2026091004|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026091004|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026091004|B7|L12-C-5|537214206090|1|515|194.1301
307,3,日野|2026091004|06|Q10-A-12|486236006000|1|750|72.912; 日野|2026091004|06|Q10-A-13|486246006000|1|750|72.913; 日野|2026091004|07|Q10-A-24|631426010000|1|1000|72.916
308,3,織機|2026091004|28|C12-B-6|582114202000|1|550|346.5; 織機|2026091004|28|C15-A-3|583114214100|1|750|313.7401; 織機|2026091004|28|C15-A-3|583114214100|1|750|313.7401
309,4,元町|2026090404|1W|L12-A-5|571165008000|1|800|204.3; 日野|2026091013|07|Q10-B-3|617756002000|21|500|72.906; 日野|2026091013|W5|Q10-A-20|671466020000|21|500|72.914; 日野|2026091013|W5|Q10-A-22|671456020000|21|500|72.915
310,3,日野|2026091104|06|Q10-A-10|486216006000|1|750|72.91; 日野|2026091104|06|Q10-A-13|486246006000|1|750|72.913; 日野|2026091104|07|Q10-B-5|616246010000|1|500|72.907
311,3,日野|2026090904|07|Q10-A-24|631426010000|1|1000|72.916; 日野|2026091104|07|Q10-D-23|617426014000|1|750|62.19; 日野|2026091104|07|Q10-D-25|617416014000|1|750|62.1901
312,3,日野|2026090904|07|Q10-D-23|617426014000|1|750|62.19; 日野|2026091204|07|Q10-A-24|631426010000|1|1000|72.916; 織機|2026091008|61|C15-A-3|583114214100|1|750|313.7401
313,3,日野|2026091204|07|Q10-D-23|617426014000|1|750|62.19; 日野|2026091204|W5|Q10-A-20|671466020000|21|500|72.914; 日野|2026091204|W5|Q10-A-22|671456020000|21|500|72.915
314,1,元町|2026082704|1W|N12-B-3|537131101000|1|515|153.5401
315,2,KVC|2026082804|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026082804|B7|L12-D-8|537224207090|1|515|194.1302
316,1,織機|2026091004|61|C15-A-3|583114214100|1|750|313.7401
317,2,高岡|2026090104|K5|L12-C-5|537214206000|1|515|194.1301; 高岡|2026090104|K5|L12-D-8|537224207000|1|515|194.1302
318,2,KVC|2026091104|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026091104|B7|L12-D-8|537224207090|1|515|194.1302
