山通番,パレット数,構成
17,3,日野|2026090701|06|Q10-A-11|486226006000|1|750|72.911; 日野|2026090701|06|Q10-A-12|486236006000|1|750|72.912; 日野|2026090701|06|Q10-A-13|486246006000|1|750|72.913
18,2,KVC|2026083105|B7|L12-C-5|537214206090|1|515|194.1301; 日野|2026090701|06|Q10-A-10|486216006000|1|750|72.91
19,3,織機|2026090701|28|C12-B-6|582114202000|1|550|346.5; 織機|2026090701|28|C15-A-3|583114214100|1|750|313.7401; 織機|2026090701|28|C15-A-3|583114214100|1|750|313.7401
20,3,日野|2026090706|07|Q10-A-24|631426010000|1|1000|72.916; 高岡|2026090701|K5|C15-B-5|581164203000|1|830|313.74; 高岡|2026090701|K5|L12-D-8|537224207000|1|515|194.1302
21,4,三栄|2026090704|1P|Q10-E-20|671456020000|21|500|62.111; 三栄|2026090704|1P|Q10-E-21|671466020000|21|500|62.112; 三栄|2026090704|1P|Q10-E-21|671466020000|21|500|62.112; 元町|2026090501|1W|N12-A-21|571111101000|1|800|168.3905
22,3,日野|2026090801|07|Q10-A-24|631426010000|1|1000|72.916; 織機|2026090707|28|C15-A-3|583114214100|1|750|313.7401; 織機|2026090707|28|C15-A-3|583114214100|1|750|313.7401
23,3,三栄|2026091101|2P|Q9-A-9|631426010000|1|1000|16.6502; 日野|2026090709|07|Q10-D-23|617426014000|1|750|62.19; 日野|2026090709|07|Q10-D-23|617426014000|1|750|62.19
24,3,日野|2026090714|07|Q10-B-5|616246010000|1|500|72.907; 日野|2026090714|07|Q10-D-25|617416014000|1|750|62.1901; 高岡|2026091001|K5|C15-A-3|583114214100|1|750|313.7401
25,4,KVC|2026082701|B7|L12-C-5|537214206090|1|515|194.1301; KVC|2026082701|B7|L12-D-8|537224207090|1|515|194.1302; KVC|2026090801|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026090801|B7|L12-C-5|537214206090|1|515|194.1301
26,3,日野|2026090801|07|Q10-D-23|617426014000|1|750|62.19; 日野|2026090801|07|Q10-D-25|617416014000|1|750|62.1901; 日野|2026091001|07|Q10-A-24|631426010000|1|1000|72.916
27,3,織機|2026090801|28|C12-B-6|582114202000|1|550|346.5; 織機|2026090801|28|C15-A-3|583114214100|1|750|313.7401; 織機|2026090801|28|C15-A-3|583114214100|1|750|313.7401
28,4,日野|2026090803|07|Q10-B-1|617766003000|21|500|72.905; 日野|2026090803|W5|Q10-A-20|671466020000|21|500|72.914; 日野|2026090803|W5|Q10-A-22|671456020000|21|500|72.915; 高岡|2026090101|K5|C15-A-3|583114214100|1|750|313.7401
29,4,KVC|2026090901|B7|C15-B-5|581164203000|1|830|313.74; KVC|2026090901|B7|L12-C-5|537214206090|1|515|194.1301; KVC|2026091402|B7|C12-B-6|582114202000|1|550|346.5; KVC|2026091402|B7|L12-C-5|537214206090|1|515|194.1301
30,2,三栄|2026090901|2P|Q9-A-9|631426010000|1|1000|16.6502; 三栄|2026090901|2P|Q9-A-9|631426010000|1|1000|16.6502
31,3,日野|2026090901|06|Q10-A-12|486236006000|1|750|72.912; 日野|2026090901|06|Q10-A-13|486246006000|1|750|72.913; 日野|2026090901|07|Q10-A-30|631426011000|1|515|72.919
32,3,日野|2026090901|06|Q10-A-10|486216006000|1|750|72.91; 日野|2026090901|06|Q10-A-11|486226006000|1|750|72.911; 日野|2026090901|07|Q10-B-7|616236014000|1|500|72.908
33,2,日野|2026090901|07|Q10-B-5|616246010000|1|500|72.907; 日野|2026090901|07|Q10-D-25|617416014000|1|750|62.1901
34,3,織機|2026090901|28|C15-A-3|583114214100|1|750|313.7401; 織機|2026090901|28|C15-A-3|583114214100|1|750|313.7401; 織機|2026090901|61|C15-A-3|583114214100|1|750|313.7401
35,4,日野|2026090904|07|Q10-B-1|617766003000|21|500|72.905; 日野|2026090904|07|Q10-B-3|617756002000|21|500|72.906; 日野|2026090904|W5|Q10-A-22|671456020000|21|500|72.915; 織機|2026090801|61|C15-A-3|583114214100|1|750|313.7401
36,3,日野|2026090901|07|Q10-A-24|631426010000|1|1000|72.916; 織機|2026090906|28|C15-A-3|583114214100|1|750|313.7401; 織機|2026090906|28|C15-A-3|583114214100|1|750|313.7401
37,4,KVC|2026091001|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026091001|B7|L12-D-8|537224207090|1|515|194.1302; 日野|2026090709|07|Q10-B-3|617756002000|21|500|72.906; 日野|2026090709|W5|Q10-A-22|671456020000|21|500|72.915
38,3,日野|2026091001|06|Q10-A-11|486226006000|1|750|72.911; 日野|2026091001|06|Q10-A-12|486236006000|1|750|72.912; 日野|2026091001|06|Q10-A-13|486246006000|1|750|72.913
39,4,KVC|2026082801|B7|L12-C-5|537214206090|1|515|194.1301; 日野|2026091001|06|Q10-A-10|486216006000|1|750|72.91; 日野|2026091001|07|Q10-B-5|616246010000|1|500|72.907; 日野|2026091001|07|Q10-B-7|616236014000|1|500|72.908
40,3,日野|2026091001|07|Q10-D-23|617426014000|1|750|62.19; 日野|2026091001|07|Q10-D-25|617416014000|1|750|62.1901; 日野|2026091001|07|Q10-D-25|617416014000|1|750|62.1901
41,3,日野|2026090703|07|Q10-A-24|631426010000|1|1000|72.916; 織機|2026091001|28|C15-A-3|583114214100|1|750|313.7401; 織機|2026091001|28|C15-A-3|583114214100|1|750|313.7401
42,4,元町|2026083101|1W|N12-A-21|571111101000|1|800|168.3905; 日野|2026091005|07|Q10-B-1|617766003000|21|500|72.905; 日野|2026091005|W5|Q10-A-20|671466020000|21|500|72.914; 日野|2026091005|W5|Q10-A-22|671456020000|21|500|72.915
43,3,KVC|2026091101|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026091101|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026091101|B7|L12-C-5|537214206090|1|515|194.1301
44,3,日野|2026091101|06|Q10-A-11|486226006000|1|750|72.911; 日野|2026091101|06|Q10-A-13|486246006000|1|750|72.913; 日野|2026091101|07|Q10-B-7|616236014000|1|500|72.908
45,3,日野|2026091101|07|Q10-B-5|616246010000|1|500|72.907; 日野|2026091101|07|Q10-D-23|617426014000|1|750|62.19; 日野|2026091101|07|Q10-D-25|617416014000|1|750|62.1901
46,3,日野|2026091104|07|Q10-A-24|631426010000|1|1000|72.916; 織機|2026091101|28|C15-A-3|583114214100|1|750|313.7401; 織機|2026091101|28|C15-A-3|583114214100|1|750|313.7401
47,4,日野|2026090914|W5|Q10-A-20|671466020000|21|500|72.914; 日野|2026090914|W5|Q10-A-22|671456020000|21|500|72.915; 高岡|2026091101|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026091101|K5|L12-D-8|537224207000|1|515|194.1302
48,4,KVC|2026082401|B7|L12-C-5|537214206090|1|515|194.1301; KVC|2026091102|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026091102|B7|C12-B-6|582114202000|1|550|346.5; KVC|2026091102|B7|L12-D-8|537224207090|1|515|194.1302
49,3,日野|2026091201|06|Q10-A-12|486236006000|1|750|72.912; 日野|2026091201|06|Q10-A-13|486246006000|1|750|72.913; 日野|2026091201|07|Q10-A-30|631426011000|1|515|72.919
50,3,日野|2026091201|06|Q10-A-10|486216006000|1|750|72.91; 日野|2026091201|06|Q10-A-11|486226006000|1|750|72.911; 日野|2026091201|07|Q10-A-7|631436012000|1|515|72.909
51,4,KVC|2026082601|B7|L12-C-5|537214206090|1|515|194.1301; 日野|2026091201|07|Q10-B-5|616246010000|1|500|72.907; 日野|2026091201|07|Q10-B-7|616236014000|1|500|72.908; 日野|2026091201|07|Q10-D-25|617416014000|1|750|62.1901
