ケース,side,main_山通番群,feat_山通番,変化の種類,山通番,納入先,NONYUHIBIN,入車時間,_truck_key,高さ,サイズ種類
50,main,279/602,594,同一納入先内の別ユニットとの統合,602,日野,2026090713,13:21,13:21,750,1
50,main,279/602,594,同一納入先内の別ユニットとの統合,602,日野,2026090713,13:21,13:21,750,1
50,feat,279/602,594,同一納入先内の別ユニットとの統合,594,日野,2026090713,13:21,13:21,750,1
50,feat,279/602,594,同一納入先内の別ユニットとの統合,594,日野,2026090713,13:21,13:21,750,1
50,feat,279/602,594,同一納入先内の別ユニットとの統合,594,日野,2026091013,13:21,13:21,1000,1
51,main,602/604,596,同一納入先内の別ユニットとの統合,602,日野,2026090913,13:21,13:21,1000,1
51,main,602/604,596,同一納入先内の別ユニットとの統合,604,日野,2026090813,13:21,13:21,750,1
51,main,602/604,596,同一納入先内の別ユニットとの統合,604,日野,2026090813,13:21,13:21,750,1
51,feat,602/604,596,同一納入先内の別ユニットとの統合,596,日野,2026090813,13:21,13:21,750,1
51,feat,602/604,596,同一納入先内の別ユニットとの統合,596,日野,2026090813,13:21,13:21,750,1
51,feat,602/604,596,同一納入先内の別ユニットとの統合,596,日野,2026090913,13:21,13:21,1000,1
52,main,285/621,613,同一納入先内の別ユニットとの統合,285,日野,2026091014,14:15,14:15,1000,1
52,main,285/621,613,同一納入先内の別ユニットとの統合,621,日野,2026090914,14:15,14:15,750,1
52,main,285/621,613,同一納入先内の別ユニットとの統合,621,日野,2026090914,14:15,14:15,750,1
52,feat,285/621,613,同一納入先内の別ユニットとの統合,613,日野,2026090914,14:15,14:15,750,1
52,feat,285/621,613,同一納入先内の別ユニットとの統合,613,日野,2026090914,14:15,14:15,750,1
52,feat,285/621,613,同一納入先内の別ユニットとの統合,613,日野,2026091014,14:15,14:15,1000,1
53,main,298/623,615,同一納入先内の別ユニットとの統合,298,日野,2026090814,14:15,14:15,1000,1
53,main,298/623,615,同一納入先内の別ユニットとの統合,623,日野,2026091014,14:15,14:15,750,1
53,main,298/623,615,同一納入先内の別ユニットとの統合,623,日野,2026091014,14:15,14:15,750,1
53,feat,298/623,615,同一納入先内の別ユニットとの統合,615,日野,2026090814,14:15,14:15,1000,1
53,feat,298/623,615,同一納入先内の別ユニットとの統合,615,日野,2026091014,14:15,14:15,750,1
53,feat,298/623,615,同一納入先内の別ユニットとの統合,615,日野,2026091014,14:15,14:15,750,1
